#Classification	S-5-DICUND-G_bracken_P.kreport
k__Bacteria	22367
k__Bacteria|p__Cyanobacteria	6506
k__Bacteria|p__Actinobacteria	3722
k__Bacteria|p__Firmicutes	203
k__Bacteria|p__Proteobacteria	11599
k__Bacteria|p__Acidobacteria	315
k__Bacteria|p__Bacteroidetes	18
k__Bacteria|p__Planctomycetes	2
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	1029
k__Eukaryota|k__Viridiplantae	707
k__Eukaryota|k__Viridiplantae|p__Streptophyta	707
k__Eukaryota|k__Metazoa	316
k__Eukaryota|k__Metazoa|p__Chordata	316
k__Eukaryota|k__Fungi	5
k__Eukaryota|k__Fungi|p__Ascomycota	5
