name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Methylobacterium sp022829385	118327	S	110	1247	1357	0.19156
Methylobacterium sp022829365	118326	S	39	567	606	0.08554
Methylobacterium sp008039875	118308	S	8	121	129	0.01821
Methylobacterium sp017833295	118314	S	6	163	169	0.02386
Methylobacterium sp022829585	118333	S	4	50	54	0.00762
Methylobacterium sp022829515	118331	S	1	15	16	0.00226
Methylobacterium sp022829545	118332	S	1	10	11	0.00155
Methylobacterium cerastii	118248	S	1	14	15	0.00212
Lichenihabitans flavocetrariae	118233	S	32	58	90	0.01270
Bradyrhizobium rifense	120500	S	1	7	8	0.00113
Lichenicoccus roseus	113922	S	258	1366	1624	0.22925
Acidisoma sp009765865	113615	S	18	54	72	0.01016
CAHJXG01 sp937858325	113708	S	1	2	3	0.00042
Sphingomonas_N sp937859915	125357	S	20	113	133	0.01877
Novosphingobium sp903970225	124574	S	2	22	24	0.00339
Caballeronia sp001557535	126764	S	73	1385	1458	0.20582
Caballeronia sp018449635	126769	S	4	38	42	0.00593
Caballeronia sordidicola_C	126762	S	2	13	15	0.00212
Caballeronia sp001424345	126763	S	2	15	17	0.00240
Paraburkholderia sp900996245	128090	S	2	28	30	0.00423
Rhodanobacter sp014200755	140600	S	5	453	458	0.06465
Bog-1198 sp030776345	139669	S	4	230	234	0.03303
Acidisarcina polymorpha	40108	S	119	140	259	0.03656
Granulicella_D aggregans_A	40206	S	5	10	15	0.00212
Granulicella_B arctica	40194	S	4	8	12	0.00169
Terriglobus aquaticus	40379	S	1	1	2	0.00028
Terriglobus roseus_B	40382	S	1	1	2	0.00028
Occallatibacter gabretensis	40248	S	1	12	13	0.00184
Edaphobacter sp030853485	40162	S	1	0	1	0.00014
Granulicella sp903970445	40192	S	1	15	16	0.00226
Nostoc flagelliforme_A	96844	S	1	82	83	0.01172
Amnibacterium sp022701925	43684	S	2	48	50	0.00706
Pseudolysinimonas sp030776385	44591	S	1	2	3	0.00042
Palsa-744 sp903970315	52641	S	1	22	23	0.00325
Palsa-1515 sp903970385	102220	S	2	16	18	0.00254
Capsulimonas corticalis	52990	S	1	1	2	0.00028
JACDAE01 sp013695595	95986	S	1	0	1	0.00014
