#Classification	SRR20002390_bracken_P.kreport
k__Bacteria	16586745
k__Bacteria|p__Proteobacteria	15091439
k__Bacteria|p__Actinobacteria	664376
k__Bacteria|p__Firmicutes	807117
k__Bacteria|p__Deinococcus-Thermus	6
k__Bacteria|p__Bacteroidetes	23805
k__Eukaryota	220
k__Eukaryota|k__Fungi	145
k__Eukaryota|k__Fungi|p__Basidiomycota	142
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Metazoa	58
k__Eukaryota|k__Metazoa|p__Chordata	58
k__Eukaryota|k__Viridiplantae	17
k__Eukaryota|k__Viridiplantae|p__Streptophyta	17
k__Viruses	9
k__Viruses|k__Heunggongvirae	9
k__Viruses|k__Heunggongvirae|p__Uroviricota	9
