#Classification	SRR20002384_bracken_P.kreport
k__Bacteria	2074078
k__Bacteria|p__Actinobacteria	1575808
k__Bacteria|p__Deinococcus-Thermus	37866
k__Bacteria|p__Firmicutes	32553
k__Bacteria|p__Cyanobacteria	30
k__Bacteria|p__Chloroflexi	6
k__Bacteria|p__Proteobacteria	426441
k__Bacteria|p__Bacteroidetes	1249
k__Bacteria|p__Planctomycetes	63
k__Bacteria|p__Chlamydiae	20
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Fusobacteria	13
k__Bacteria|p__Aquificae	9
k__Bacteria|p__Acidobacteria	9
k__Bacteria|p__Synergistetes	3
k__Bacteria|p__Nitrospirae	2
k__Bacteria|p__Spirochaetes	1
k__Eukaryota	8296
k__Eukaryota|k__Fungi	3460
k__Eukaryota|k__Fungi|p__Basidiomycota	3342
k__Eukaryota|k__Fungi|p__Ascomycota	117
k__Eukaryota|k__Metazoa	3080
k__Eukaryota|k__Metazoa|p__Chordata	3080
k__Eukaryota|k__Viridiplantae	1729
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1729
k__Eukaryota|p__Apicomplexa	25
k__Archaea	4
k__Archaea|p__Euryarchaeota	3
k__Archaea|p__Thaumarchaeota	1
k__Viruses	461
k__Viruses|k__Heunggongvirae	461
k__Viruses|k__Heunggongvirae|p__Uroviricota	461
