#Classification	NS40_bracken_P.kreport
k__Bacteria	1563545
k__Bacteria|p__Firmicutes	1320122
k__Bacteria|p__Actinobacteria	122967
k__Bacteria|p__Bacteroidetes	114867
k__Bacteria|p__Proteobacteria	5534
k__Bacteria|p__Spirochaetes	19
k__Bacteria|p__Verrucomicrobia	10
k__Bacteria|p__Candidatus_Saccharibacteria	8
k__Bacteria|p__Fusobacteria	16
k__Eukaryota	3
k__Eukaryota|k__Fungi	3
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Viruses	12846
k__Viruses|k__Heunggongvirae	12846
k__Viruses|k__Heunggongvirae|p__Uroviricota	12846
