#Classification	GQ48_bracken_P.kreport
k__Bacteria	8667596
k__Bacteria|p__Firmicutes	3953429
k__Bacteria|p__Actinobacteria	572744
k__Bacteria|p__Tenericutes	606
k__Bacteria|p__Bacteroidetes	2846868
k__Bacteria|p__Verrucomicrobia	825486
k__Bacteria|p__Proteobacteria	466237
k__Bacteria|p__Fusobacteria	1794
k__Bacteria|p__Spirochaetes	293
k__Bacteria|p__Synergistetes	133
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Archaea	276090
k__Archaea|p__Euryarchaeota	276090
k__Eukaryota	739
k__Eukaryota|k__Viridiplantae	383
k__Eukaryota|k__Viridiplantae|p__Streptophyta	383
k__Eukaryota|k__Fungi	356
k__Eukaryota|k__Fungi|p__Ascomycota	356
k__Viruses	7738
k__Viruses|k__Heunggongvirae	7738
k__Viruses|k__Heunggongvirae|p__Uroviricota	7738
