#Classification	S-7-DICUND-B_bracken_O.kreport
k__Bacteria	1158277
k__Bacteria|p__Proteobacteria	688277
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	315738
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	111525
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	70680
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	100094
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	23519
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	8885
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	345
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	53
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	278
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	271
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	16
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	49
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	237284
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	225290
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	6407
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2310
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	3276
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	128305
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	71787
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	21904
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	21184
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2162
