#Classification	S-7-DICUND-B_bracken_C.kreport
k__Bacteria	1158269
k__Bacteria|p__Proteobacteria	897995
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	315738
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	237284
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	128306
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	6306
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	288
k__Bacteria|p__Proteobacteria|c__Oligoflexia	120
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	209
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	5
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	209736
k__Bacteria|p__Actinobacteria	154910
k__Bacteria|p__Actinobacteria|c__Actinomycetia	131111
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	15454
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	6199
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1396
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	659
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	89
k__Bacteria|p__Firmicutes	8162
k__Bacteria|p__Firmicutes|c__Bacilli	6462
k__Bacteria|p__Firmicutes|c__Clostridia	1566
k__Bacteria|p__Firmicutes|c__Negativicutes	30
k__Bacteria|p__Firmicutes|c__Limnochordia	11
k__Bacteria|p__Firmicutes|c__Tissierellia	90
k__Bacteria|p__Deinococcus-Thermus	259
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	259
k__Bacteria|p__Chloroflexi	225
k__Bacteria|p__Chloroflexi|c__Chloroflexia	22
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	11
k__Bacteria|p__Chloroflexi|c__Tepidiformia	10
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	7
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	7
k__Bacteria|p__Chloroflexi|c__Anaerolineae	5
k__Bacteria|p__Chloroflexi|c__Caldilineae	5
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	154
k__Bacteria|p__Armatimonadetes	84
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	57
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	27
k__Bacteria|p__Tenericutes	74
k__Bacteria|p__Tenericutes|c__Mollicutes	74
k__Bacteria|p__Cyanobacteria	45
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	45
k__Bacteria|p__Acidobacteria	57182
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	57126
