#Classification	S-5-POLCOM-B_bracken_P.kreport
k__Bacteria	60496
k__Bacteria|p__Proteobacteria	52288
k__Bacteria|p__Acidobacteria	4058
k__Bacteria|p__Actinobacteria	2762
k__Bacteria|p__Cyanobacteria	142
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Bacteroidetes	1181
k__Bacteria|p__Planctomycetes	55
k__Bacteria|p__Verrucomicrobia	6
k__Eukaryota	262
k__Eukaryota|k__Metazoa	165
k__Eukaryota|k__Metazoa|p__Chordata	165
k__Eukaryota|k__Fungi	19
k__Eukaryota|k__Fungi|p__Ascomycota	17
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Viridiplantae	74
k__Eukaryota|k__Viridiplantae|p__Streptophyta	74
k__Eukaryota|p__Euglenozoa	3
