#Classification	SRR20002448_bracken_P.kreport
k__Bacteria	2624324
k__Bacteria|p__Proteobacteria	2136040
k__Bacteria|p__Actinobacteria	258347
k__Bacteria|p__Firmicutes	225851
k__Bacteria|p__Deinococcus-Thermus	380
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	3470
k__Bacteria|p__Chlamydiae	104
k__Bacteria|p__Verrucomicrobia	35
k__Bacteria|p__Fusobacteria	60
k__Bacteria|p__Synergistetes	30
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	7772
k__Eukaryota|k__Fungi	4424
k__Eukaryota|k__Fungi|p__Basidiomycota	4218
k__Eukaryota|k__Fungi|p__Ascomycota	206
k__Eukaryota|k__Metazoa	1507
k__Eukaryota|k__Metazoa|p__Chordata	1507
k__Eukaryota|k__Viridiplantae	1840
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1840
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Viruses	344
k__Viruses|k__Heunggongvirae	344
k__Viruses|k__Heunggongvirae|p__Uroviricota	344
