feature	Akkermansia.muciniphila	Alistipes.putredinis	Anaerostipes.hadrus	Bacteroides.caccae	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.uniformis	Bacteroides.vulgatus	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Blautia.obeum	Blautia.wexlerae	Collinsella.aerofaciens	Coprococcus.comes	Coprococcus.eutactus	Dorea.formicigenerans	Dorea.longicatena	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.sp.CAG.180	Eubacterium.sp.CAG.251	Eubacterium.ventriosum	Faecalibacterium.prausnitzii	Fusicatenibacter.saccharivorans	Gemmiger.formicilis	Lactobacillus.ruminis	Oscillibacter.sp.CAG.241	Parabacteroides.merdae	Prevotella.copri	Roseburia.faecis	Roseburia.intestinalis	Roseburia.inulinivorans	Ruminococcus.bicirculans	Ruminococcus.bromii	Ruminococcus.gnavus	Ruminococcus.torques	Streptococcus.salivarius
NS28	0.256813917420807	0	0.180585214190698	0	0	0	0.180585214190698	0	0.316335000509266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.455533356978361	0	0	0	0	0	0.833861106417453	0	0	0.180585214190698	0	0	0	0	0
NS38	0.428192755581941	0	0.265729118969425	0.327454426146225	0	0	0.186779461081594	0.186779461081594	0.513585909631033	0.380506377112365	0.380506377112365	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186779461081594	0	0	0	0	0.186779461081594	0	0	0	0	0	0	0	0	0
NS46	0	0	0	0	0	0.306277369169669	0.248740049959281	0	0.399816663950217	0	0	0	0	0	0	0.355602582980533	0.174969045665689	0.174969045665689	0	0.174969045665689	0.399816663950217	0.306277369169669	0.248740049959281	0	0	0	0	0	0	0	0	0.306277369169669	0	0	0	0.306277369169669	0	0	0
NS62	0.186779461081594	0	0.186779461081594	0	0	0	0	0	0	0	0	0.380506377112365	0	0	0.327454426146225	0.380506377112365	0	0.265729118969425	0	0.186779461081594	0.380506377112365	0	0	0	0	0.265729118969425	0	0	0	0	0	0	0.186779461081594	0	0.186779461081594	0.380506377112365	0.186779461081594	0	0
NS71	0.252680255142079	0	0.40637778068433	0.177710600845112	0	0	0	0	0	0.361367123906708	0.486694955074773	0.252680255142079	0	0.252680255142079	0	0	0	0	0	0.177710600845112	0	0.177710600845112	0	0	0	0	0	0	0.252680255142079	0	0	0	0	0	0	0.361367123906708	0	0.177710600845112	0
NS83	0.193658300444327	0	0	0	0	0	0	0	0.193658300444327	0.193658300444327	0.193658300444327	0.193658300444327	0	0.193658300444327	0.193658300444327	0	0.339836909454122	0	0.275642799216265	0.193658300444327	0	0	0	0	0.534226044567914	0.275642799216265	0	0.193658300444327	0.193658300444327	0	0	0	0	0.193658300444327	0	0	0	0.193658300444327	0.193658300444327
NS9	0	0.183604010278919	0.261157410903024	0	0	0	0.261157410903024	0.321750554396642	0	0	0	0.183604010278919	0	0.183604010278919	0	0	0	0.183604010278919	0	0	0	0.420534335283965	0	0	0.321750554396642	0.37379217483451	0	0	0	0	0	0.321750554396642	0	0	0.183604010278919	0.261157410903024	0	0.183604010278919	0
NS70	0	0	0.177710600845112	0	0	0	0	0	0	0.252680255142079	0.177710600845112	0.31118424427751	0	0.177710600845112	0.252680255142079	0	0	0	0	0	0.486694955074773	0.31118424427751	0	0	0.361367123906708	0	0.177710600845112	0	0	0	0.40637778068433	0	0	0	0.252680255142079	0	0	0	0
NS72	0	0	0.172350589899323	0	0	0	0	0	0.470960700649922	0.393564135328064	0	0	0.172350589899323	0.301595702804835	0	0	0.172350589899323	0.244978663126864	0	0.172350589899323	0	0	0	0	0.172350589899323	0.301595702804835	0	0.540419500270584	0	0	0	0	0	0	0	0	0	0	0
NS58	0	0	0.399816663950217	0	0	0	0	0	0	0	0.174969045665689	0.248740049959281	0.248740049959281	0.174969045665689	0	0	0.174969045665689	0	0	0	0.549467244757627	0	0	0	0	0.440510663004698	0	0	0	0	0	0	0.355602582980533	0	0	0	0	0.248740049959281	0
NS7	0	0	0	0	0	0	0	0	0.321750554396642	0.37379217483451	0.261157410903024	0.183604010278919	0	0.261157410903024	0	0	0	0.183604010278919	0	0.261157410903024	0.183604010278919	0.183604010278919	0	0	0.579639740363704	0	0	0.183604010278919	0	0	0.261157410903024	0	0	0.183604010278919	0	0	0	0	0
NS67	0.193658300444327	0	0	0	0	0	0	0	0.575591471612526	0	0	0	0.193658300444327	0	0	0	0.339836909454122	0	0	0	0	0	0	0	0.39509966728639	0	0	0.275642799216265	0	0	0	0	0	0.193658300444327	0.193658300444327	0	0	0.444859969337947	0.193658300444327
NS29	0	0	0.270549762978573	0	0	0	0.190125603346467	0.270549762978573	0.387596686655181	0	0.387596686655181	0	0.563942641360629	0	0	0	0	0	0	0	0	0	0	0	0.190125603346467	0	0	0	0	0	0	0.190125603346467	0	0	0	0.436286926716168	0	0	0
NS30	0	0	0	0	0.180585214190698	0	0	0	0.316335000509266	0	0	0	0.180585214190698	0	0	0	0	0.256813917420807	0	0	0.495181051695738	0	0	0	0	0.180585214190698	0	0	0	0	0	0.604027390781464	0.316335000509266	0	0	0	0	0.316335000509266	0
NS51	0	0	0.387596686655181	0	0	0	0	0	0.190125603346467	0	0	0	0.190125603346467	0	0	0	0	0	0	0	0.387596686655181	0.190125603346467	0	0	0.481275373942343	0.270549762978573	0.270549762978573	0	0	0	0	0	0.190125603346467	0	0	0.333473172251832	0.270549762978573	0.190125603346467	0
NS81	0	0	0.306277369169669	0	0	0	0	0	0.174969045665689	0	0.248740049959281	0	0	0	0	0	0	0.174969045665689	0	0.399816663950217	0.615479708670387	0	0	0	0.248740049959281	0.248740049959281	0	0	0	0	0	0	0.174969045665689	0	0	0.355602582980533	0.174969045665689	0	0
NS55	0	0	0.252680255142079	0	0	0	0.177710600845112	0.177710600845112	0	0.177710600845112	0.177710600845112	0.252680255142079	0.177710600845112	0	0	0	0	0	0	0.252680255142079	0.252680255142079	0	0	0.177710600845112	0.361367123906708	0.177710600845112	0	0	0	0	0	0	0.361367123906708	0	0	0.486694955074773	0.177710600845112	0.177710600845112	0
NS86	0	0	0	0	0	0	0	0	0	0.248740049959281	0.174969045665689	0	0	0	0.174969045665689	0.355602582980533	0	0	0	0	0.440510663004698	0	0.174969045665689	0	0.615479708670387	0.174969045665689	0	0	0	0	0.174969045665689	0.174969045665689	0	0.174969045665689	0	0.248740049959281	0	0	0.174969045665689
