feature	Akkermansia.muciniphila	Alistipes.putredinis	Anaerostipes.hadrus	Bacteroides.caccae	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.uniformis	Bacteroides.vulgatus	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Blautia.obeum	Blautia.wexlerae	Collinsella.aerofaciens	Coprococcus.comes	Coprococcus.eutactus	Dorea.formicigenerans	Dorea.longicatena	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.sp.CAG.180	Eubacterium.sp.CAG.251	Eubacterium.ventriosum	Faecalibacterium.prausnitzii	Fusicatenibacter.saccharivorans	Gemmiger.formicilis	Lactobacillus.ruminis	Oscillibacter.sp.CAG.241	Parabacteroides.merdae	Prevotella.copri	Roseburia.faecis	Roseburia.intestinalis	Roseburia.inulinivorans	Ruminococcus.bicirculans	Ruminococcus.bromii	Ruminococcus.gnavus	Ruminococcus.torques	Streptococcus.salivarius
NS27	0	0	1	0	4	0	0	2	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	2	0	0	0	0	0	2	2	0	1	0	0	0	0
NS32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	8	0	0	6	0	0	0	0	0	5	0	1	1	0	0	0	0	0
NS36	8	0	0	2	0	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	1	2	0	0	0
NS39	0	1	1	0	1	2	1	0	3	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	15	0	0	0	1	1	0	0	0	0	0	0	0	0	0
NS4	0	0	1	0	2	1	0	8	1	0	0	0	0	1	0	0	0	0	6	0	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS40	0	0	1	0	0	0	0	1	2	3	0	0	0	2	1	0	0	4	0	0	3	0	0	0	8	0	0	1	0	0	1	0	0	0	0	0	0	1	0
NS41	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	6	0	0	0	0	1	10	1	3	1	0	0	0	0	0
NS77	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	1	0	0	0	0	10	0	0	5	0	0	1	0	0
NS78	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	3	0	2	2	4	5	0	0	1	2	3	0	0	0	0	1	1	0	0	0	0	0	1	0
NS79	0	0	1	0	0	0	0	1	5	1	1	1	1	1	0	0	0	0	0	3	0	0	0	0	9	2	0	0	0	0	0	0	0	0	3	3	0	1	0
NS13	0	0	4	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	12	3	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0
NS21	0	0	0	0	0	0	3	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0
NS6	0	0	3	0	0	0	1	9	0	0	0	0	0	0	0	0	0	1	0	3	0	0	3	0	6	1	0	0	0	3	0	0	1	0	0	0	0	1	1
