#Classification	S-5-DICUND-B_bracken_O.kreport
k__Bacteria	607490
k__Bacteria|p__Proteobacteria	364149
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	171055
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	142184
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	4669
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	20472
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2631
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	357
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	73
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	114
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	283
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	86
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	44
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	106
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	130211
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	89166
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	16369
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	17215
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	6369
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	750
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	57
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	11
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	256
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	9
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	5
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	59705
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	57649
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	763
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	101
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1191
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3148
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2666
