#Classification	S-5-DICUND-B_bracken_P.kreport
k__Bacteria	607730
k__Bacteria|p__Actinobacteria	206236
k__Bacteria|p__Cyanobacteria	9279
k__Bacteria|p__Firmicutes	2855
k__Bacteria|p__Armatimonadetes	129
k__Bacteria|p__Chloroflexi	47
k__Bacteria|p__Deinococcus-Thermus	33
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Proteobacteria	364158
k__Bacteria|p__Acidobacteria	17132
k__Bacteria|p__Planctomycetes	4065
k__Bacteria|p__Verrucomicrobia	506
k__Bacteria|p__Chlamydiae	52
k__Bacteria|p__Kiritimatiellaeota	244
k__Bacteria|p__Bacteroidetes	2918
k__Bacteria|p__Rhodothermaeota	23
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	6
k__Bacteria|p__Candidatus_Saccharibacteria	22
k__Bacteria|p__Fusobacteria	13
k__Bacteria|p__Nitrospirae	1
k__Eukaryota	22328
k__Eukaryota|k__Viridiplantae	12733
k__Eukaryota|k__Viridiplantae|p__Streptophyta	12728
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	5
k__Eukaryota|k__Metazoa	6431
k__Eukaryota|k__Metazoa|p__Chordata	6431
k__Eukaryota|k__Fungi	3124
k__Eukaryota|k__Fungi|p__Ascomycota	2995
k__Eukaryota|k__Fungi|p__Basidiomycota	129
k__Eukaryota|p__Apicomplexa	24
k__Eukaryota|p__Euglenozoa	11
k__Eukaryota|p__Evosea	3
k__Archaea	24
k__Archaea|p__Euryarchaeota	24
k__Viruses	2
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
