#Classification	S-27-POLPIL-B_bracken_O.kreport
k__Bacteria	1130
k__Bacteria|p__Proteobacteria	818
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	657
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	657
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	158
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	107
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1
k__Bacteria|p__Cyanobacteria	98
k__Bacteria|p__Cyanobacteria|o__Nostocales	98
k__Bacteria|p__Actinobacteria	90
k__Bacteria|p__Actinobacteria|c__Actinomycetia	90
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	85
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	5
k__Bacteria|p__Acidobacteria	122
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	122
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	122
k__Eukaryota	55
k__Eukaryota|k__Metazoa	55
k__Eukaryota|k__Metazoa|p__Chordata	55
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	55
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	55
