#Classification	S-27-POLPIL-B_bracken_C.kreport
k__Bacteria	1132
k__Bacteria|p__Proteobacteria	819
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	657
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	158
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4
k__Bacteria|p__Acidobacteria	221
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	221
k__Bacteria|p__Actinobacteria	90
k__Bacteria|p__Actinobacteria|c__Actinomycetia	90
k__Eukaryota	55
k__Eukaryota|k__Metazoa	55
k__Eukaryota|k__Metazoa|p__Chordata	55
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	55
