#Classification	S-13-POLPIL-G_bracken_P.kreport
k__Bacteria	315947
k__Bacteria|p__Proteobacteria	246411
k__Bacteria|p__Actinobacteria	54515
k__Bacteria|p__Cyanobacteria	529
k__Bacteria|p__Firmicutes	490
k__Bacteria|p__Deinococcus-Thermus	16
k__Bacteria|p__Armatimonadetes	4
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	8427
k__Bacteria|p__Bacteroidetes	4666
k__Bacteria|p__Gemmatimonadetes	63
k__Bacteria|p__Planctomycetes	600
k__Bacteria|p__Verrucomicrobia	159
k__Bacteria|p__Chlamydiae	7
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Candidatus_Absconditabacteria	3
k__Bacteria|p__Spirochaetes	45
k__Bacteria|p__Synergistetes	1
k__Eukaryota	166068
k__Eukaryota|k__Viridiplantae	156370
k__Eukaryota|k__Viridiplantae|p__Streptophyta	156318
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	52
k__Eukaryota|k__Metazoa	8551
k__Eukaryota|k__Metazoa|p__Chordata	8551
k__Eukaryota|k__Fungi	1140
k__Eukaryota|k__Fungi|p__Ascomycota	979
k__Eukaryota|k__Fungi|p__Basidiomycota	160
k__Eukaryota|p__Bacillariophyta	3
k__Eukaryota|p__Apicomplexa	1
k__Eukaryota|p__Cercozoa	1
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
k__Viruses	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
