#Classification	SRR5091501_bracken_P.kreport
k__Bacteria	9508534
k__Bacteria|p__Proteobacteria	9456762
k__Bacteria|p__Firmicutes	44197
k__Bacteria|p__Actinobacteria	689
k__Bacteria|p__Deinococcus-Thermus	1
k__Bacteria|p__Bacteroidetes	6850
k__Bacteria|p__Verrucomicrobia	29
k__Bacteria|p__Fusobacteria	3
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	5
k__Eukaryota|k__Viridiplantae	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5
k__Viruses	13
k__Viruses|k__Heunggongvirae	13
k__Viruses|k__Heunggongvirae|p__Uroviricota	13
