#Classification	S-10-POLPIL-B_bracken_P.kreport
k__Bacteria	47560
k__Bacteria|p__Proteobacteria	38865
k__Bacteria|p__Actinobacteria	4028
k__Bacteria|p__Cyanobacteria	664
k__Bacteria|p__Firmicutes	65
k__Bacteria|p__Acidobacteria	3373
k__Bacteria|p__Bacteroidetes	430
k__Bacteria|p__Planctomycetes	130
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	388
k__Eukaryota|k__Viridiplantae	241
k__Eukaryota|k__Viridiplantae|p__Streptophyta	241
k__Eukaryota|k__Metazoa	131
k__Eukaryota|k__Metazoa|p__Chordata	131
k__Eukaryota|k__Fungi	14
k__Eukaryota|k__Fungi|p__Basidiomycota	3
k__Eukaryota|k__Fungi|p__Ascomycota	11
