#Classification	NS77_bracken_P.kreport
k__Bacteria	11828691
k__Bacteria|p__Bacteroidetes	5824411
k__Bacteria|p__Firmicutes	4792436
k__Bacteria|p__Actinobacteria	198050
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Proteobacteria	1012962
k__Bacteria|p__Fusobacteria	339
k__Bacteria|p__Verrucomicrobia	195
k__Bacteria|p__Candidatus_Saccharibacteria	173
k__Bacteria|p__Spirochaetes	101
k__Bacteria|p__Synergistetes	11
k__Eukaryota	244
k__Eukaryota|k__Viridiplantae	181
k__Eukaryota|k__Viridiplantae|p__Streptophyta	181
k__Eukaryota|k__Fungi	38
k__Eukaryota|k__Fungi|p__Ascomycota	38
k__Eukaryota|k__Metazoa	25
k__Eukaryota|k__Metazoa|p__Chordata	25
k__Archaea	3
k__Archaea|p__Euryarchaeota	3
k__Viruses	40348
k__Viruses|k__Heunggongvirae	40348
k__Viruses|k__Heunggongvirae|p__Uroviricota	40348
