#Classification	S-25-POLJUN-G_bracken_P.kreport
k__Bacteria	134538
k__Bacteria|p__Proteobacteria	110040
k__Bacteria|p__Cyanobacteria	14947
k__Bacteria|p__Actinobacteria	8103
k__Bacteria|p__Firmicutes	3
k__Bacteria|p__Acidobacteria	983
k__Bacteria|p__Bacteroidetes	384
k__Bacteria|p__Planctomycetes	72
k__Bacteria|p__Chlamydiae	3
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	44107
k__Eukaryota|k__Viridiplantae	42040
k__Eukaryota|k__Viridiplantae|p__Streptophyta	42038
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	2
k__Eukaryota|k__Metazoa	1995
k__Eukaryota|k__Metazoa|p__Chordata	1995
k__Eukaryota|k__Fungi	71
k__Eukaryota|k__Fungi|p__Ascomycota	45
k__Eukaryota|k__Fungi|p__Basidiomycota	25
