feature	Acidaminococcaceae	Actinomycetaceae	Acutalibacteraceae	Akkermansiaceae	Anaerofustaceae	Anaerotignaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bianqueaceae	Bifidobacteriaceae	Borkfalkiaceae	Burkholderiaceae	Butyricicoccaceae	CAG.138	CAG.272	CAG.274	CAG.382	CAG.508	CAG.74	Campylobacteraceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Dialisteraceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	GCA.900066905	Gemellaceae	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Megasphaeraceae	Micrococcaceae	Monoglobaceae	Mycobacteriaceae	Nanosynbacteraceae	Oscillospiraceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Pseudomonadaceae	QALW01	QAND01	Rhizobiaceae	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Tannerellaceae	Turicibacteraceae	UBA1255	UBA1381	UBA644	UBA660	UMGS124	UMGS1783	Veillonellaceae	Xanthobacteraceae
NS10	275	0	78627	0	68	1760	400	0	43915	214	0	66338	0	0	6129	256	0	0	0	0	0	0	0	0	2392	83905	58	26738	11020	241	1006	0	0	0	572044	0	0	33201	0	0	0	0	4582	0	0	0	348	0	0	0	0	0	317	72586	0	0	184	655	0	0	2810	0	0	0	0	0	0
NS11	10114	0	54057	2297	0	0	1079	0	560571	0	334	23218	0	2889	1884	1412	0	0	0	0	0	0	132	0	9048	6906	5972	0	623	1315	3192	0	59	0	79263	1612	11108	37160	0	0	0	0	35858	0	803	0	134	0	0	0	46	0	16395	72634	0	0	337	65724	0	0	202	0	2902	65	0	0	0
NS13	0	52	2239	0	0	123	1211	0	161273	0	0	34	0	0	2077	931	0	0	0	0	717	0	0	0	39951	0	0	205	3825	0	3632	0	0	0	629449	0	0	0	0	816	0	0	2518	0	0	442	603	0	0	0	0	0	58237	97898	0	0	1911	137	194	0	1594	0	0	0	0	0	0
NS21	0	26	15273	32	0	238	0	0	364573	0	1305	1475	0	0	3572	307	0	0	0	0	0	0	0	73	1202	0	1065	7080	961	1679	3031	0	0	0	370377	0	6574	0	0	0	66	0	33913	77	0	0	2331	0	0	0	0	0	639	170188	0	0	2436	11514	0	0	5091	0	0	0	0	4971	0
NS25	15901	0	10340	0	0	25272	304	0	400517	0	0	3379	0	530	10970	1415	0	0	0	0	0	0	0	122	1862	0	3830	0	383	0	10847	0	0	0	216891	0	1502	0	0	11714	0	0	70746	0	0	0	1307	0	0	0	0	0	8021	194202	0	0	107	15159	42	0	4706	0	0	0	0	0	0
NS27	0	0	92419	6722	0	217	205	643	194364	0	0	130366	0	75	1836	1860	0	3106	0	11650	552	0	0	2551	16156	6598	0	5914	809	0	5769	0	0	0	316904	283	0	447	0	0	0	0	4895	302	0	0	3605	0	0	0	0	0	8835	160548	0	0	11973	13375	0	0	6622	0	255	0	0	213	0
NS28	2450	0	28402	32660	0	590	310	460	485090	10412	361	10597	6259	2718	2293	12869	2090	0	90	42111	7885	261	36	0	1638	570	435	12955	384	331	1699	0	0	0	153087	0	2168	145	0	0	32	0	34352	59	0	102	363	68	0	0	68	0	11680	93961	0	0	636	12327	0	0	507	232	28545	0	0	40	0
NS29	0	109	124812	0	1453	191	7319	0	54262	5619	0	143113	0	42	133	1342	0	0	0	0	1320	0	1057	12276	22567	12618	437	9517	8620	48	20467	7875	63	0	396641	0	0	182	0	2445	0	0	16434	0	0	109	21480	0	0	0	551	0	3715	129316	0	0	3498	90	54	0	126	0	0	0	0	0	0
NS30	0	87	4266	0	0	56	0	0	27976	34	0	55230	0	8396	889	191	0	0	0	0	0	0	0	2918	2570	13349	0	1839	1623	15207	4164	0	0	0	760280	31	0	0	0	270	0	199	586	0	0	0	5941	0	36610	0	0	0	792	59300	0	0	1639	213	0	0	5361	0	0	0	0	0	0
NS32	905	0	127925	2969	0	1081	1767	0	234075	758	591	8666	0	769	3921	5965	955	0	0	23152	5083	214	278	573	318	2161	2540	42707	589	670	654	0	40	0	242912	5162	2528	0	0	165	0	0	53175	0	0	110	630	34	0	0	1443	0	6941	159781	0	0	497	5136	82	112	2683	151	21668	0	0	0	0
NS34	7981	2617	24324	7813	38	373	4021	0	493318	0	490	15793	0	319	102	1048	0	0	0	0	267	313	162	8920	6129	2999	0	1284	2717	24816	3250	600	0	0	250946	0	7198	0	0	560	391	0	22555	0	76	7375	8028	3379	0	0	196	0	17368	30615	0	0	285	47903	1673	0	0	0	0	0	0	0	0
NS36	12308	0	100449	152871	0	5370	1413	0	187095	10494	712	15427	0	541	789	1297	0	0	0	0	0	0	1388	28	6416	10826	4445	65	1746	0	2361	0	387	0	125101	43	9797	0	0	27877	0	0	86848	0	0	587	3642	441	0	0	1505	0	93790	110165	0	58	324	29260	699	0	1567	0	0	107	0	188	0
NS38	0	0	88495	106528	0	486	3201	0	247848	6957	596	131153	0	527	559	8950	4130	0	1433	15391	21144	0	293	0	8747	10754	2321	5129	3621	2539	1634	0	0	0	129250	1946	4760	0	0	1455	0	0	45128	84	0	0	1774	0	2039	274	284	0	35044	80736	0	0	356	19919	0	639	1110	469	6695	0	525	0	0
NS39	2234	0	36666	3227	0	1043	1455	0	148276	3966	150	46592	0	319	2601	4573	89	0	86	23527	7119	0	420	0	1586	5442	643	22241	3293	108	7336	0	0	0	199242	0	5089	0	0	2127	0	0	36971	524	0	121	1256	0	955	0	128	0	27430	351319	4760	0	1246	8037	70	0	937	247	44292	0	0	1046	0
