feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales.unclassified	Bacteria.unclassified	Bacteroidaceae	Bacteroidales.unclassified	Barnesiellaceae	Bianqueaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridia.unclassified	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII.Incertae.Sedis	Eubacteriales.incertae.sedis	Eubacteriales.unclassified	FGB1011	FGB10477	FGB1126	FGB12107	FGB1217	FGB1226	FGB1227	FGB1249	FGB1258	FGB1292	FGB1311	FGB1354	FGB1359	FGB1374	FGB1380	FGB1473	FGB14936	FGB1765	FGB1776	FGB2834	FGB2875	FGB28775	FGB2881	FGB2890	FGB2898	FGB2949	FGB2952	FGB2959	FGB2960	FGB2982	FGB2984	FGB3004	FGB3009	FGB3023	FGB3038	FGB3047	FGB3048	FGB3054	FGB3057	FGB3062	FGB3069	FGB3072	FGB38642	FGB40183	FGB45503	FGB45555	FGB45628	FGB4605	FGB4806	FGB618	FGB72924	FGB72939	FGB75721	FGB79291	FGB82363	FGB9119	FGB9272	FGB9491	FGB9989	Firmicutes.unclassified	Lachnospiraceae	Lactobacillaceae	Micrococcaceae	Nanogingivalaceae	Nitrobacteraceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Saccharibacteria.unclassified	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Tissierellia.unclassified	Turicibacteraceae	Veillonellaceae	Yeguiaceae
NS10	6432	0	0	0	0	48106	87301	0	2898	0	1865628	0	0	0	0	56093	856012	0	438989	0	476	17170	863	80223	795966	11807	39569	437048	0	0	0	249607	0	0	0	0	0	2877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1495	0	0	0	0	0	0	0	191	0	1229042	0	0	0	0	0	0	0	0	216	0	235648	8951876	0	0	0	0	0	2050820	0	0	8278	0	0	106991	6414	0	0	0	0	6214	0	2951	0	0	1893165	0
NS11	390319	0	68136	0	0	3116	5428252	0	0	0	1026073	0	0	0	4624	4293	732315	397640	52054	0	257117	3609	13271	139432	114805	40979	579451	301550	3606	0	0	0	4893	5424	9131	0	40604	0	0	1798853	8386	0	0	23992	0	0	0	0	0	0	2055	0	0	0	0	0	0	0	0	0	28	3636	20579	525	0	0	30254	0	0	0	0	0	0	0	1763	0	1628	0	0	0	0	839	0	0	0	9387	0	66279	1865747	83109	0	0	0	195545	2669515	0	0	4379	0	0	8354902	497136	0	0	0	0	12008	118367	1159994	0	0	927523	1062
NS13	0	2980	0	0	0	0	2714467	0	0	0	715	0	0	0	0	0	404261	1814667	0	0	0	125889	0	173657	186126	71309	436690	945985	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	5257	0	0	0	0	0	0	0	4108	0	0	18687562	0	0	273	0	0	2615688	0	13637	22123	0	0	6391	363218	0	0	0	0	93612	0	0	12253	5670	2130	0
NS21	0	134	0	0	390	69113	9035794	0	0	0	88610	0	0	0	0	42190	2968740	12328	0	2186	34317	36535	24115	159263	150772	0	107127	901333	0	0	0	0	0	0	0	0	0	13611	0	0	0	0	0	0	338329	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16303	0	0	0	0	0	0	0	0	0	0	0	0	569	0	47602	0	0	0	0	0	0	0	0	15980	10838410	0	0	0	0	172269	8607662	1455	0	90624	0	0	9296	587	914	0	0	0	128927	0	227195	0	0	1000637	0
NS25	1473747	0	0	0	0	98791	13932951	0	0	0	277399	0	0	0	0	2085810	3120650	0	0	0	181893	18432	0	402462	0	32867	361098	2690999	0	0	0	0	0	0	0	0	0	62016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	113079	0	0	8940266	0	0	0	0	30648	14381180	0	0	57028	0	0	8125	593788	0	0	0	0	2773	33677	433218	0	2561	656	0
NS27	0	0	185991	30656	0	0	2990679	0	0	0	4974785	0	0	0	0	2488	537536	644320	14725	0	0	10118	0	191579	79770	4909	99213	227461	0	0	0	0	0	4110	735	0	0	41218	0	0	2159	0	141923	0	434460	674168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6557639	9851	0	0	0	0	7742934	6471	0	91548	0	0	61810	207145	0	0	0	0	528552	962	202905	0	0	296518	0
NS28	143022	0	1261353	34503	0	1881	590012	0	440030	0	567117	0	28414	0	198	713	462922	0	11858	135	13191	18145	5052	157170	185065	2130	15733	338047	38	6401	194	2286	0	8198	0	0	0	0	0	306433	96842	1796	0	10129	0	4265618	344086	13806	0	0	11293	0	0	2475	4242	0	5022	661943	4626	0	0	4909	7890	350	1476	0	0	32108	16244	7467	105394	0	439	1763	0	3158	1598	375	1219	0	21705	911	0	70528	38328	0	36363	0	5149178	0	0	0	0	54943	5428053	746	687	6641	0	7206	15728218	380225	0	0	0	0	46699	130375	277977	1008	0	780296	0
NS29	0	3445	0	0	0	1282	877287	176764	0	0	6218428	0	0	0	12358	5996	1594965	3649	632393	0	10558	236898	0	1495205	1729923	334821	207127	954621	30016	0	32408	0	0	0	23434	0	0	53186	0	15593	0	3754	0	0	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52340	0	0	401	0	0	201681	0	0	0	0	0	0	0	4383	0	0	0	0	134241	0	0	0	0	0	43195	0	0	7606776	913	0	0	0	0	7623808	0	5891	650092	0	0	7288	80727	0	0	0	0	158171	213	150	0	706	583966	0
NS30	0	3792	0	0	0	0	437290	0	0	0	2645170	0	0	0	0	888	976789	0	747719	0	0	49410	121660	168754	606511	0	6403	229994	0	0	0	0	0	0	0	0	0	171184	0	15000	0	0	0	0	4919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2089	0	0	84853	0	0	0	0	0	0	0	0	21118069	507	0	12702	0	0	2482443	0	0	162830	0	0	27374	20854	44710	0	0	0	80415	386150	1183	808	0	113960	0
NS32	39189	248	80682	0	0	6764	1087417	0	23298	0	406428	0	18580	0	10953	0	549611	0	28950	0	65370	6092	5894	16225	26499	7560	107274	269106	207	26548	0	0	19609	23355	535	0	0	51671	6901	751168	3747	0	0	0	99	1532995	311490	0	92	0	0	0	3256	0	2170	2797	1921	22508	35070	325	0	46704	4887	3450	749	15295	4390	75457	35073	1877	25293	0	7901	497	147	19211	4155021	0	0	0	11265	988	707	563904	10998	4479	25477	20734	5361958	215083	0	1163	0	37854	6573014	0	0	18003	0	1912	3370844	181631	847	0	0	0	19089	20030	79885	1351	3106	2526264	344
NS34	414103	185368	265177	2778	0	2476	11057414	2100	0	7933	728049	0	25582	0	2950	764	2164019	172585	182436	0	0	101830	168882	81800	25134	30049	171052	405215	10500	0	4359	0	2173	0	193255	0	0	114594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	3996	0	20899	0	0	0	180867	0	0	640	0	12926	0	0	2909	0	420407	164903	0	0	0	0	0	0	0	2922	0	0	3388323	0	0	0	0	181057	1921671	0	324708	166453	0	142549	36949	580753	0	0	0	0	11300	6643	858639	68497	62525	88125	0
NS36	519625	0	4575718	0	0	2598	2868182	0	327263	0	570658	0	0	0	55158	3463	376142	25600	322904	0	163554	17326	0	240322	1593203	21115	1597037	861946	46845	0	23370	0	3705	0	41820	0	0	55666	0	0	0	0	0	0	0	0	0	0	0	3433	0	0	0	0	0	0	0	0	0	0	4641	0	16099	0	0	0	266002	0	0	0	0	0	0	0	4542	0	0	0	0	0	0	2785	0	0	0	4078	0	13393	2590264	821	0	0	0	140113	6547648	0	3452	91529	0	18843	2532	2848473	0	0	0	615	13163	20380	503944	2066	18281	1321	0
NS38	0	0	2057439	0	0	0	2649410	0	138768	1090	3471737	0	0	0	5387	0	381542	98845	79091	0	42522	84998	8803	67973	30978	27989	307270	193009	2781	44360	617	0	4653	1387	65494	210	0	43598	3949	1326220	23833	0	0	0	0	584878	400458	0	2459	0	1695	7977	18741	0	36633	13069	0	64253	50371	375	0	2302	12189	0	0	148922	6404	0	28037	20991	375599	0	6128	0	459	0	0	0	0	0	1715	2515	21326	0	459	593	0	7174	2085389	46578	0	0	0	66606	2642560	1637	0	34359	0	0	0	669481	0	0	0	0	9533	5861	243005	0	0	156039	1910
NS39	76008	0	62474	0	0	4678	1674597	0	116029	0	1696727	0	0	0	11374	0	361572	3467	155188	0	11650	62276	338	320513	810851	12724	1138249	1009993	9739	0	0	3424	0	23144	0	180	0	0	80206	2205	0	1827	0	0	355145	1230317	1208770	0	0	0	0	0	0	0	0	0	9568	0	0	389	962	6337	378	0	0	0	2738	4860	83962	0	17710	0	3711	0	0	0	0	0	0	0	0	0	0	983315	2808	14584	0	0	3646482	0	0	0	0	84517	8470864	3904	9541	25818	0	0	523542	690468	2146	174983	0	0	39429	13094	93740	0	104	1048641	439
NS4	0	0	0	0	0	665	4984211	0	0	0	1496815	0	0	0	0	0	699260	0	35754	0	2807	3439	109004	32522	57038	42	111773	331569	0	0	0	0	0	0	0	0	0	36008	0	0	0	0	1170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2949	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	12015173	0	0	0	0	23516	5190815	39481	966	2402	0	0	5859	150302	0	0	0	0	75021	851015	46617	0	643	169668	0
NS40	44982	60	0	238794	0	33711	790026	0	157553	0	2502755	0	0	0	13667	7150	706285	0	286623	0	0	98785	2724	219612	2543603	71730	2442147	574543	44866	0	0	0	36301	1817	0	0	178825	0	0	7188361	0	0	0	181415	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11364	12502	2012	0	0	0	0	4583	0	0	0	0	4169	15708	0	194	0	0	0	3631	0	0	0	21033	92288	0	7784850	461993	0	0	0	12592	8589146	0	1235	9479	0	6124	674480	583297	1784	129000	0	0	18989	25057	225927	2870	0	255883	1373
