feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales.unclassified	Bacteria.unclassified	Bacteroidaceae	Bacteroidales.unclassified	Barnesiellaceae	Bianqueaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridia.unclassified	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII.Incertae.Sedis	Eubacteriales.incertae.sedis	Eubacteriales.unclassified	FGB1011	FGB10477	FGB1126	FGB12107	FGB1217	FGB1226	FGB1227	FGB1249	FGB1258	FGB1292	FGB1311	FGB1354	FGB1359	FGB1374	FGB1380	FGB1473	FGB14936	FGB1765	FGB1776	FGB2834	FGB2875	FGB28775	FGB2881	FGB2890	FGB2898	FGB2949	FGB2952	FGB2959	FGB2960	FGB2982	FGB2984	FGB3004	FGB3009	FGB3023	FGB3038	FGB3047	FGB3048	FGB3054	FGB3057	FGB3062	FGB3069	FGB3072	FGB38642	FGB40183	FGB45503	FGB45555	FGB45628	FGB4605	FGB4806	FGB618	FGB72924	FGB72939	FGB75721	FGB79291	FGB82363	FGB9119	FGB9272	FGB9491	FGB9989	Firmicutes.unclassified	Lachnospiraceae	Lactobacillaceae	Micrococcaceae	Nanogingivalaceae	Nitrobacteraceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Saccharibacteria.unclassified	Selenomonadaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Tissierellia.unclassified	Turicibacteraceae	Veillonellaceae	Yeguiaceae
NS10	0.018167154530247	0	0	0	0	0.0497013793650526	0.066976794757052	0	0.0121941057307047	0	0.314548686731427	0	0	0	0	0.0536726294803569	0.211135576007555	0	0.150647091816469	0	0.00494191472094499	0.029685128692064	0.00665424222117086	0.0642004143715941	0.20348789108885	0.0246152155049417	0.0450728063394027	0.15031114128813	0	0	0	0.113409580950636	0	0	0	0	0	0.0121498416758033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00875822607216004	0	0	0	0	0	0	0	0.00313045449854281	0	0.253832417447077	0	0	0	0	0	0	0	0	0.00332902978210306	0	0.110179532692073	0.744650554978988	0	0	0	0	0	0.33035597986079	0	0	0.0206102595492486	0	0	0.0741586416700796	0.01814171346863	0	0	0	0	0.0178565974048328	0	0.0123051118974648	0	0	0.316941939274869	0
NS11	0.119467394340762	0	0.0498165836888896	0	0	0.0106491001492067	0.460575123327691	0	0	0	0.194462450667192	0	0	0	0.0129726013489474	0.0124996465245547	0.163984622113827	0.120587993237745	0.0435381776516283	0	0.0968837637805057	0.0114606414755482	0.0219782327051761	0.0712943609877259	0.0646828669510288	0.0386273274836581	0.145731238164112	0.104950182179316	0.0114558769178865	0	0	0	0.0133446281366847	0.0140501223994656	0.0182301064840375	0	0.0384500938448324	0	0	0.258738075925047	0.0174705066624189	0	0	0.029553057871137	0	0	0	0	0	0	0.00864803233782303	0	0	0	0	0	0	0	0	0	0.00100945059383567	0.0115034337068697	0.0273698448554743	0.00437106246733491	0	0	0.0331876962303099	0	0	0	0	0	0	0	0.00801007861959699	0	0.00769728323075359	0	0	0	0	0.00552572374617173	0	0	0	0.0184839215873332	0	0.049132481277118	0.263617486421529	0.0550236218552558	0	0	0	0.0844589709890826	0.316970583393016	0	0	0.0126242325708623	0	0	0.584056543354753	0.134915517799065	0	0	0	0	0.0209060966734309	0.0656800677446632	0.206936885977313	0	0	0.18477465391242	0.00621685924006899
NS13	0	0.0101884125520072	0	0	0	0	0.312555715960349	0	0	0	0.0049905188484729	0	0	0	0	0	0.118945041933445	0.254140838013795	0	0	0	0.0662678189217386	0	0.0778530855413506	0.0806055205821676	0.0498589353881259	0.123647316273482	0.182535530108399	0	0	0	0	0	0.0024262450088432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00246893889873405	0.0135323468321829	0	0	0	0	0	0	0	0.0119623485349797	0	0	0.938719871068842	0	0	0.00308370545056538	0	0	0.306627227473699	0	0.0217963957692131	0.0277631461628806	0	0	0.0149207756367631	0.11271834331324	0	0	0	0	0.0571337776002481	0	0	0.020660602919086	0.014053894936145	0.00861362674872992	0
NS21	0	0.00195267944284124	0	0	0.00333128190482705	0.0443609258373256	0.531773156088306	0	0	0	0.0502345273309358	0	0	0	0	0.0346553249838396	0.29490192163709	0.0187305265454673	0	0.00788692771147901	0.0312538585354522	0.0322483955561912	0.0261982084084952	0.0673696505549959	0.0655465218628997	0	0.0552393601929651	0.160840360552778	0	0	0	0	0	0	0	0	0	0.0196811890771282	0	0	0	0	0	0	0.0982759380061298	0.00126232855904544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215399964393617	0	0	0	0	0	0	0	0	0	0	0	0	0.00402379256788936	0	0.0368119624485519	0	0	0	0	0	0	0	0	0.0213255177964951	0.588774995018779	0	0	0	0	0.0700708354421978	0.517724241609838	0.00643446988304339	0	0.0508026914889624	0	0	0.0162646785605059	0.00408694260407855	0.00509980134789021	0	0	0	0.0606060692443448	0	0.0804908873102454	0	0	0.169550612211793	0
NS25	0.17370568266035	0	0	0	0	0.0447630892840136	0.56027594099602	0	0	0	0.075054473132646	0	0	0	0	0.207091558545101	0.254230272234077	0	0	0	0.0607563295472114	0.0193298993325836	0	0.0904421734525512	0	0.0258133624695047	0.0856564475688462	0.235723305819243	0	0	0	0	0	0	0	0	0	0.0354616727876556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236521846980677	0	0	0	0	0	0	0	0	0.0478931426440653	0	0	0.439722218937238	0	0	0	0	0.0249265606963421	0.570318670058211	0	0	0.0340051025293122	0	0	0.012833346538026	0.109927677513803	0	0	0	0	0.00749713478846139	0.0261295803454192	0.0938441492362365	0	0.00720484865325805	0.00364644105772684	0
NS27	0	0	0.0830907871957865	0.033701328192521	0	0	0.339278303926647	0	0	0	0.443644615930427	0	0	0	0	0.00959928569921991	0.141567134680395	0.155095931272808	0.0233546946027193	0	0	0.0193589377934328	0	0.0843326828649386	0.0543802158076168	0.0134839376674763	0.0606537517615537	0.0919119917196815	0	0	0	0	0	0.0123378358826855	0.00521738277020531	0	0	0.0390805864287409	0	0	0.00894209272009109	0	0.0725629012524551	0	0.127190169371638	0.158677424006625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00552424427838543	0	0	0.00670256002399557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515317883226469	0.019101770828561	0	0	0	0	0.56510020813521	0.0154813955844552	0	0.0582609025266532	0	0	0.0478632588001146	0.0877003139680762	0	0	0	0	0.140371223999856	0.00596893946793977	0.0867958309753455	0	0	0.104985829726731	0
NS28	0.0610934968408152	0	0.182326826742997	0.0299927929476788	0	0.00700198719226701	0.124329227332431	0	0.107299619673701	0	0.121880848193958	0	0.0272171830379891	0	0.00227172801703609	0.00431091515684121	0.110066337183936	0	0.0175813193396964	0.00187581715986728	0.01854330386042	0.021748839587513	0.0114753137357434	0.0640479384461541	0.0695080770785402	0.0074510449909017	0.0202515758616172	0.0940051698520628	0.000995211155601599	0.0129169314850326	0.00224866415202499	0.00771908443358105	0	0.0146181626590482	0	0	0	0	0	0.0894892666203689	0.0502618085910282	0.00684195037751189	0	0.0162489672102322	0	0.33994731934199	0.0948436293649369	0.0189706997223975	0	0	0.0171573154926296	0	0	0.0080318508773114	0.0105151797454971	0	0.0114411899158711	0.131731749677561	0.0109808234124888	0	0	0.0113117329410715	0.0143409114270154	0.00302035539545122	0.00620253650382803	0	0	0.028932808077371	0.0205778741385936	0.0139511667437283	0.0524360955474017	0	0.00338264524744164	0.00677880042145209	0	0.00907267567847878	0.00645378907931217	0.00312636519259213	0.00563673370605185	0	0.0237872489472901	0.00487286379983802	0	0.0428881484684566	0.0316121315496075	0	0.0307908618210224	0	0.375079742418055	0	0	0	0	0.0378515144105326	0.385622974976488	0.0044095491391	0.00423158462144781	0.0131568715686679	0	0.0137051593727647	0.694849654667156	0.0997157254495695	0	0	0	0	0.0348951683239757	0.0583266184849495	0.0852223738995418	0.00512572772761503	0	0.14309888989322	0
NS29	0	0.0104069028045427	0	0	0	0.00634842474591272	0.166842478410135	0.0746137726757022	0	0	0.457982630716793	0	0	0	0.0197115722299148	0.0137297776117119	0.225835676592321	0.0107106118600056	0.141469288877965	0	0.0182193929313704	0.0864052787420206	0	0.218540492196335	0.235369266761261	0.102775647936372	0.0807811151564054	0.174112942613051	0.0307230111559901	0	0.0319241198181406	0	0	0	0.0271453594379478	0	0	0.0409014597576367	0	0.0221421288289507	0	0.0108636239202827	0	0	0.00507104610674622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0405746773716908	0	0	0.0035505214835575	0	0	0.0797097650085508	0	0	0	0	0	0	0	0.0117385581386318	0	0	0	0	0.0650081145956524	0	0	0	0	0	0.0368582000724301	0	0	0.51095652294688	0.00535743008722683	0	0	0	0	0.511583906888071	0	0.0136090234721119	0.143448804531862	0	0	0.0151370000741338	0.0503978855340616	0	0	0	0	0.0705737261046425	0.00258767263097517	0.00217152591649501	0	0.00471110737861371	0.135909764658187	0
NS30	0	0.0111096705612901	0	0	0	0	0.119585484630513	0	0	0	0.297798932954484	0	0	0	0	0.00537609157305859	0.179261466350073	0	0.156640746462603	0	0	0.0401127079284488	0.062967872436057	0.0741794286993082	0.140966765219065	0	0.0144365998617077	0.0866282742262695	0	0	0	0	0	0	0	0	0	0.074712587851516	0	0.0220972920928373	0	0	0	0	0.012653424646692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00824578912680092	0	0	0.0525765140403842	0	0	0	0	0	0	0	0	0.977421836108737	0.00406221828597526	0	0.0203340583544714	0	0	0.288222192975657	0	0	0.0728634358197733	0	0	0.0298532573295962	0.0260556498080631	0.0381562604284448	0	0	0	0.0511818811836532	0.112344040305687	0.0062051636830943	0.00512820841090834	0	0.0609400971884666	0
NS32	0.036769252794586	0.00292436319407485	0.0527709320265788	0	0	0.0152729712280243	0.194874583046291	0	0.028347994445839	0	0.118663281367418	0	0.0253147761281162	0	0.0194356350708288	0	0.13810646692713	0	0.0316010431729569	0	0.0474960387432034	0.0144943920431694	0.0142568843950117	0.0236558037341988	0.0302333140826638	0.0161467313329695	0.060858354537573	0.096480717216927	0.00267171752519221	0.0302612623096848	0	0	0.0260064773087942	0.0283826601270598	0.004295196887115	0	0	0.042223802137692	0.0154268795930191	0.161646521179808	0.0113672666926283	0	0	0	0.00184766271160795	0.231994646568785	0.103826319772907	0	0.00178114383957634	0	0	0	0.0105963226854464	0	0.00865047854252789	0.00982105322157403	0.00813904270452839	0.0278631041815495	0.0347824609294526	0.0033477062377698	0	0.0401419559707575	0.0129818987618053	0.0109074444259269	0.00508215174432961	0.0229677141303239	0.0123040494518243	0.0510320643742814	0.0347839491993986	0.00804528940643542	0.029537121747925	0	0.0165069031625965	0.00413984694187829	0.00225145817793899	0.025741141263078	0.388199274419561	0	0	0	0.0197105421147071	0.00583694751474356	0.00493760474129604	0.1399023727714	0.0194755244832158	0.0124281521447635	0.0296443958705646	0.0267422634149944	0.444490691256319	0.0862275811368576	0	0.00633282679484461	0	0.0361372638925588	0.49620069563822	0	0	0.0249185195212379	0	0.00811995394960111	0.347913469490583	0.0792235374969509	0.00540441473150184	0	0	0	0.0256592581608055	0.0262842344174432	0.052509400917291	0.00682552240345419	0.0103493560522383	0.299613525185931	0.0034441727771764
