#Classification	S-10-POLJUN-B_bracken_O.kreport
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	2753
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	1968
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	3051
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1589
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	850
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	507
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	711
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	5295
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	80
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	85
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	46
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	8
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	11020
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	10463
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	557
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	4709
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	4709
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1467
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	1467
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	466
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	231
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	234
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	104
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	38
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	27
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	38
k__Bacteria|p__Cyanobacteria	202957
k__Bacteria|p__Cyanobacteria|o__Nostocales	199768
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	564
k__Bacteria|p__Cyanobacteria|o__Chroococcales	168
k__Bacteria|p__Cyanobacteria|o__Synechococcales	380
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	1900
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	59
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	58
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	43
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	43
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	6
k__Bacteria|p__Cyanobacteria|o__Thermostichales	6
k__Bacteria|p__Firmicutes	110381
k__Bacteria|p__Firmicutes|c__Bacilli	108647
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	107026
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1620
k__Bacteria|p__Firmicutes|c__Clostridia	1268
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1171
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	78
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	14
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales	1
k__Bacteria|p__Firmicutes|c__Negativicutes	241
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	19
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	221
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	1
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	111
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	111
k__Bacteria|p__Firmicutes|c__Tissierellia	104
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	104
k__Bacteria|p__Firmicutes|c__Limnochordia	7
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	7
k__Bacteria|p__Chloroflexi	483
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	233
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	233
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	108
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	9
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales	99
k__Bacteria|p__Chloroflexi|c__Caldilineae	48
k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales	48
k__Bacteria|p__Chloroflexi|c__Chloroflexia	32
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	32
