#Classification	S-13-POLJUN-G_bracken_O.kreport
k__Bacteria	448266
k__Bacteria|p__Proteobacteria	344773
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	221845
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	137537
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	67517
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	12067
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	3001
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1628
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	50
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	20
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	12
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	67787
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	64457
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1736
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	706
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	887
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	53351
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	34429
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	9821
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	8115
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	223
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	288
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	40
