#Classification	NS46_bracken_P.kreport
k__Bacteria	2779573
k__Bacteria|p__Firmicutes	1913918
k__Bacteria|p__Actinobacteria	190405
k__Bacteria|p__Bacteroidetes	569299
k__Bacteria|p__Verrucomicrobia	7280
k__Bacteria|p__Proteobacteria	98507
k__Bacteria|p__Spirochaetes	146
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Bacteria|p__Synergistetes	5
k__Bacteria|p__Fusobacteria	5
k__Archaea	5855
k__Archaea|p__Euryarchaeota	5855
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Viruses	8057
k__Viruses|k__Heunggongvirae	8044
k__Viruses|k__Heunggongvirae|p__Uroviricota	8044
k__Viruses|k__Sangervirae	13
k__Viruses|k__Sangervirae|p__Phixviricota	13
