#Classification	S-24-POLJUN-B_bracken_C.kreport
k__Bacteria	16414
k__Bacteria|p__Proteobacteria	13319
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	9559
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2478
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1279
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Acidobacteria	1725
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	1725
k__Bacteria|p__Actinobacteria	1260
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1260
k__Bacteria|p__Planctomycetes	72
k__Bacteria|p__Planctomycetes|c__Planctomycetia	72
k__Bacteria|p__Bacteroidetes	36
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	33
k__Bacteria|p__Bacteroidetes|c__Cytophagia	3
k__Eukaryota	312
k__Eukaryota|k__Viridiplantae	186
k__Eukaryota|k__Viridiplantae|p__Streptophyta	186
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	181
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	5
k__Eukaryota|k__Metazoa	107
k__Eukaryota|k__Metazoa|p__Chordata	107
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	107
k__Eukaryota|k__Fungi	18
k__Eukaryota|k__Fungi|p__Ascomycota	18
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	18
