#Classification	S-24-POLJUN-B_bracken_P.kreport
k__Bacteria	24145
k__Bacteria|p__Cyanobacteria	8787
k__Bacteria|p__Actinobacteria	859
k__Bacteria|p__Proteobacteria	12672
k__Bacteria|p__Acidobacteria	1721
k__Bacteria|p__Planctomycetes	68
k__Bacteria|p__Bacteroidetes	35
k__Eukaryota	309
k__Eukaryota|k__Viridiplantae	185
k__Eukaryota|k__Viridiplantae|p__Streptophyta	185
k__Eukaryota|k__Metazoa	105
k__Eukaryota|k__Metazoa|p__Chordata	105
k__Eukaryota|k__Fungi	18
k__Eukaryota|k__Fungi|p__Ascomycota	18
