#Classification	SRR5091473_bracken_P.kreport
k__Bacteria	32556512
k__Bacteria|p__Bacteroidetes	20545202
k__Bacteria|p__Firmicutes	9704720
k__Bacteria|p__Actinobacteria	2117780
k__Bacteria|p__Chloroflexi	33
k__Bacteria|p__Proteobacteria	177123
k__Bacteria|p__Verrucomicrobia	5990
k__Bacteria|p__Synergistetes	4833
k__Bacteria|p__Spirochaetes	511
k__Bacteria|p__Candidatus_Saccharibacteria	262
k__Bacteria|p__Fusobacteria	55
k__Archaea	2892
k__Archaea|p__Euryarchaeota	2891
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Eukaryota	2200
k__Eukaryota|k__Fungi	1446
k__Eukaryota|k__Fungi|p__Ascomycota	1446
k__Eukaryota|k__Metazoa	15
k__Eukaryota|k__Metazoa|p__Chordata	15
k__Eukaryota|k__Viridiplantae	735
k__Eukaryota|k__Viridiplantae|p__Streptophyta	735
k__Eukaryota|p__Euglenozoa	2
k__Viruses	41103
k__Viruses|k__Heunggongvirae	41103
k__Viruses|k__Heunggongvirae|p__Uroviricota	41103
