#Classification	S-6-DICUND-B_bracken_P.kreport
k__Bacteria	11041
k__Bacteria|p__Actinobacteria	6839
k__Bacteria|p__Cyanobacteria	93
k__Bacteria|p__Firmicutes	15
k__Bacteria|p__Proteobacteria	3708
k__Bacteria|p__Acidobacteria	355
k__Bacteria|p__Planctomycetes	15
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Bacteroidetes	13
k__Eukaryota	580
k__Eukaryota|k__Viridiplantae	384
k__Eukaryota|k__Viridiplantae|p__Streptophyta	384
k__Eukaryota|k__Metazoa	185
k__Eukaryota|k__Metazoa|p__Chordata	185
k__Eukaryota|k__Fungi	10
k__Eukaryota|k__Fungi|p__Ascomycota	10
