#Classification	NS70_bracken_P.kreport
k__Bacteria	8351437
k__Bacteria|p__Firmicutes	5474393
k__Bacteria|p__Actinobacteria	1240953
k__Bacteria|p__Chloroflexi	8
k__Bacteria|p__Bacteroidetes	1585862
k__Bacteria|p__Proteobacteria	49842
k__Bacteria|p__Spirochaetes	283
k__Bacteria|p__Verrucomicrobia	57
k__Bacteria|p__Candidatus_Saccharibacteria	28
k__Bacteria|p__Synergistetes	3
k__Bacteria|p__Fusobacteria	4
k__Eukaryota	3288
k__Eukaryota|k__Fungi	3152
k__Eukaryota|k__Fungi|p__Ascomycota	3152
k__Eukaryota|k__Viridiplantae	135
k__Eukaryota|k__Viridiplantae|p__Streptophyta	135
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	58349
k__Viruses|k__Heunggongvirae	58349
k__Viruses|k__Heunggongvirae|p__Uroviricota	58349
