#Classification	SRR5091490_bracken_P.kreport
k__Bacteria	2991686
k__Bacteria|p__Bacteroidetes	2286167
k__Bacteria|p__Firmicutes	678839
k__Bacteria|p__Actinobacteria	22655
k__Bacteria|p__Proteobacteria	3929
k__Bacteria|p__Verrucomicrobia	48
k__Bacteria|p__Spirochaetes	15
k__Bacteria|p__Fusobacteria	12
k__Bacteria|p__Candidatus_Saccharibacteria	10
k__Bacteria|p__Synergistetes	8
k__Archaea	3852
k__Archaea|p__Euryarchaeota	3852
k__Eukaryota	259
k__Eukaryota|k__Viridiplantae	245
k__Eukaryota|k__Viridiplantae|p__Streptophyta	245
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	9
k__Eukaryota|k__Metazoa	4
k__Eukaryota|k__Metazoa|p__Chordata	4
k__Viruses	129
k__Viruses|k__Heunggongvirae	129
k__Viruses|k__Heunggongvirae|p__Uroviricota	125
k__Viruses|k__Heunggongvirae|p__Peploviricota	4
