#Classification	GQ49_bracken_P.kreport
k__Bacteria	22384508
k__Bacteria|p__Bacteroidetes	13117569
k__Bacteria|p__Firmicutes	7142327
k__Bacteria|p__Actinobacteria	1232456
k__Bacteria|p__Tenericutes	217
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Verrucomicrobia	495033
k__Bacteria|p__Proteobacteria	395490
k__Bacteria|p__Spirochaetes	1249
k__Bacteria|p__Fusobacteria	120
k__Bacteria|p__Candidatus_Saccharibacteria	29
k__Bacteria|p__Synergistetes	13
k__Archaea	240122
k__Archaea|p__Euryarchaeota	240122
k__Eukaryota	460
k__Eukaryota|k__Viridiplantae	374
k__Eukaryota|k__Viridiplantae|p__Streptophyta	373
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|k__Fungi	85
k__Eukaryota|k__Fungi|p__Ascomycota	85
k__Viruses	16149
k__Viruses|k__Heunggongvirae	16145
k__Viruses|k__Heunggongvirae|p__Uroviricota	16145
k__Viruses|k__Shotokuvirae	4
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	4
