#Classification	GQ44_bracken_P.kreport
k__Bacteria	24090469
k__Bacteria|p__Firmicutes	10676281
k__Bacteria|p__Actinobacteria	5012193
k__Bacteria|p__Cyanobacteria	39
k__Bacteria|p__Tenericutes	29
k__Bacteria|p__Deinococcus-Thermus	28
k__Bacteria|p__Chloroflexi	24
k__Bacteria|p__Bacteroidetes	6573071
k__Bacteria|p__Chlorobi	19
k__Bacteria|p__Fibrobacteres	4
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Verrucomicrobia	1661730
k__Bacteria|p__Planctomycetes	31
k__Bacteria|p__Kiritimatiellaeota	36
k__Bacteria|p__Proteobacteria	164233
k__Bacteria|p__Spirochaetes	2391
k__Bacteria|p__Synergistetes	287
k__Bacteria|p__Fusobacteria	39
k__Bacteria|p__Candidatus_Saccharibacteria	13
k__Bacteria|p__Acidobacteria	8
k__Bacteria|p__Atribacterota	2
k__Bacteria|p__Thermotogae	2
k__Bacteria|p__Nitrospirae	1
k__Bacteria|p__Dictyoglomi	1
k__Archaea	1419505
k__Archaea|p__Euryarchaeota	1419504
k__Archaea|p__Thaumarchaeota	1
k__Eukaryota	1790
k__Eukaryota|k__Viridiplantae	1058
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1040
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	17
k__Eukaryota|k__Metazoa	723
k__Eukaryota|k__Metazoa|p__Chordata	723
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|p__Apicomplexa	3
k__Eukaryota|p__Bacillariophyta	1
k__Viruses	4320
k__Viruses|k__Heunggongvirae	4176
k__Viruses|k__Heunggongvirae|p__Uroviricota	4176
k__Viruses|k__Shotokuvirae	144
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	144
