feature	Actinomycetaceae	Anoxybacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Beijerinckiaceae	Bifidobacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Dermatophilaceae	Effusibacillaceae	Enterobacteriaceae	Enterococcaceae	Halomonadaceae	Lactobacillaceae	Listeriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	NICIL.2	Neisseriaceae	Pasteurellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002340	0	0	0.09924236023021	0	0	0	0	0.377308444459207	0	0	0	0	0.0848713282503236	0	0	0.0560772339030943	0	0	0.0621790685984381	0.177691793054214	0.110136820240675	0	0	0	0.22849785687073	1.02739290130111	0.0546558926047754	0.0513147200062217	0	0.0622845039494563	0	0.0590400169417261	0	0
SRR20002343	0	0.119616448811728	0.0526999750600235	0	0	0	0	0.315048130885814	0	0.0937651978969853	0.0414672971622822	0.0672379354872474	0	0	0.0307511247450547	0	0	0.0653941327243046	0.0614569763262422	0.147608679274755	0.100857987767159	0.156157194013841	0	0	0.242385773904028	0.804281290599398	0.0402533139122297	0	0.0551706582466266	0.0425241914893339	0.372830958477988	0.028710566237657	0.305683934387079	0
SRR20002345	0	0.0684671196777426	0.105134452524149	0	0	0	0	0.461533953801364	0.0347724623120912	0.0547467679231194	0	0.0570195284004667	0.093277121880753	0	0.0284313490069358	0	0	0.0380608741580315	0.0622680562580844	0.155739003722583	0.155255228662177	0.0627154201810671	0	0	0.489272066094662	0.710154151812113	0.0371977899834502	0	0.0424962414784638	0.0464568510791745	0.0616033268908403	0.0243157051828256	0.236788003728647	0.0341244004159618
SRR20002351	0.101933802245462	0	0	0.0421797428695405	0	0	0	0.361059730952245	0	0	0.0346339565847144	0	0.108830076585127	0.0255210243613184	0.0309763134434409	0.0504429772100828	0.0375273815973112	0	0.0663396655064801	0.128240097752522	0.167076279019848	0	0.167657876150846	0.043027374185062	0.445632236503964	0.804827361577264	0.0504623315636475	0.0286535344684474	0	0.0671599308196931	0.0998028938017122	0.209875891277985	0	0
SRR20002352	0	0	0	0	0	0.0172041543808192	0	0.151567669945121	0	0	0.0157996865746087	0	0.025266335138694	0	0	0	0	0	0.0200628649672724	0.0590456128307953	0.0332713487546103	0	0	0	0.12027665246137	0.338159545080065	0.0185681698191795	0	0	0.0209356921479837	1.16081697117019	0.0614402584826484	0	0.0298831947327773
SRR20002353	0	0	0.0417198696405771	0	0	0	0	0.408070828383468	0	0	0.0453531113456123	0	0	0	0.0336057984597564	0	0	0	0.0538154978452352	0.164126758564906	0.0434721906506331	0	0	0	0.198288974189944	1.05261746322441	0.0513466026917717	0	0	0.0540463375420109	0	0	0.0221357336702784	0.0812617136302096
SRR20002355	0	0	0	0	0	0	0	0.390369155640984	0	0	0	0	0	0	0	0	0	0	0.0725016994221574	0.102073876192102	0.0719847701336462	0	0	0	0.313924791580021	1.02711006979287	0.0505112437580165	0	0	0.0480530636037257	0	0	0	0.0421670755018771
SRR20002356	0.062193523913846	0.0332958689979784	0	0	0	0	0	0.078942950531342	0	0.0324283318875871	0	0	0.121448282280928	0	0	0	0	0	0.0288460905775383	0.0252077296670119	0.0283979439672864	0.0502614526174236	0	0	0.106009631048509	1.31367714375945	0	0	0	0	0	0.0957899225953409	0.112514542229063	0
SRR20002360	0.0392294053332488	0	0.0715412343383184	0.0643464059332981	0	0	0	0.339099925516299	0	0	0	0	0	0	0	0	0	0	0.0995433139251924	0.111674674622473	0.09900284220833	0	0	0	0.302713544222641	1.04994963385824	0.0374399292971417	0	0	0.0476537583350315	0.03980806046987	0	0	0
SRR20002363	0	0	0	0	0	0	0	0.143137669150221	0	0	0	0	0	0	0	0	0	0	0	0.0462805211840766	0.0602743566457131	0	0	0	0.0579159302507809	0.314459652480921	0.0171675836871503	0	0	0.0187227475001921	1.18820334273308	0.115669781541782	0.00977078582868369	0.0132733896907559
SRR20002365	0	0	0	0	0	0	0	0.356602493288674	0	0	0	0	0	0	0	0	0	0.0404678707521688	0.121591323389419	0.135006474019322	0.107165776401403	0	0.0374690527839339	0	0.433773692102194	0.931715686130457	0.0523673838379091	0	0	0.0545552042380374	0.0553588235111855	0	0.034104174687028	0
SRR20002368	0	0	0.0136429310793356	0	0	0	0	0.128973250906155	0	0	0.0172714646633514	0	0	0	0.0168808604766801	0	0	0	0.0197297105991143	0.0479208153553986	0.0281850087783248	0	0	0	0.0933456650074344	0.292173539950997	0.016033434455456	0	0	0.0162587593781575	1.22802416050368	0	0	0
SRR20002369	0	0	0	0	0.0315142918461953	0	0.443625017076461	0	0	0	0	0	0.380095787076241	0	0	0.0824601756640084	0	0	0	0	0	0	0	0.933384595500665	0.0229521416431895	0.0361665411576219	0	0	0	0	0.143547416389229	0.0470709598611484	0	0
SRR20002371	0	0.0959420711770418	0.110189314568353	0	0	0.0659670282451362	0	0.206389997870583	0	0.0983116221574866	0	0	0.192857799842484	0	0	0	0	0	0	0.0648714215007858	0.0635319009866432	0.171602557477834	0	0	0.343924893423003	0.556184370255109	0	0	0	0	0.39681797378526	0.469624390745265	0.32511834271289	0
SRR20002373	0	0.11293021444076	0.0623049947819437	0	0	0	0	0.397013736599138	0	0.0835058698273622	0.0521473013749303	0.0759702874080745	0	0	0.0303675817172446	0	0	0	0.0360270251354262	0.149777944578033	0.0902680302293535	0.106896527163633	0	0	0.188943017444055	0.932478441156088	0.0477711263169932	0	0.05393479560841	0.0496848934089157	0.0300643117538906	0	0.297065495706321	0
SRR20002375	0	0.0744238504105452	0.0560426677051362	0	0	0	0	0.363968644037072	0	0.0641113268371206	0.0349133124990285	0.0592853966938841	0.0348039931744004	0	0.0345843195617742	0	0	0	0.0641113268371206	0.124872729887095	0.150347634212624	0.0902640766999554	0	0	0.231062388278083	0.976019808462769	0.0504545504745087	0	0.0470922953028607	0.0442538598299482	0.0445115711693705	0.0365139120054195	0.236017704546813	0
SRR20002377	0	0	0	0	0	0	0	0.174285078931651	0	0	0	0	0	0	0	0	0	0	0.0751366318786856	0.0549070485938946	0	0	0	0	0.226702921328781	0.502957689074876	0	0	0	0	0.967842049403057	0	0	0
SRR20002378	0	0	0.083207061011863	0	0	0	0	0.366408742432347	0	0	0	0	0	0	0	0	0	0	0	0.0988359352137473	0	0	0	0	0.167056799308107	1.13528959145719	0.0499969182565377	0	0	0.0532165001664434	0	0	0	0
SRR20002379	0	0	0.0406829320518381	0	0	0	0	0.417685081097666	0	0	0	0	0	0	0.0368281890634186	0	0	0	0.0439628894109115	0.154814917536418	0.0807895515761044	0	0	0	0.12066313937827	1.07697882735709	0.0545550495282594	0	0	0.0578846346508017	0	0	0	0.0639078931433268
SRR20002380	0	0	0.0149470168205815	0.0278913075978714	0	0	0.0284959745486542	0.0549478952032054	0	0	0	0	0	0	0	0	0	0	0	0.0190069609732264	0	0	0	0	0.0246005342812209	0.137942278152335	0	0	0.0144837964574923	0	1.41111162641727	0	0	0.0192445863639623
SRR20002382	0.0461422826823703	0.145419107288525	0.0428020846264502	0	0	0	0	0.365040826900489	0.0298704241069365	0.116011648748535	0	0.0830891837611985	0	0	0.0304312990522544	0	0	0	0.0851969462492276	0.148626321933584	0.0879115886105473	0.176038803707997	0.0392507939163666	0.0277509383114391	0.239083354310065	0.836156160072186	0.033376283943144	0	0.0657382075450914	0.0613988293260954	0.0516797464575305	0.0382318754584157	0.377066575351168	0
SRR20002384	0	0.0522012087549231	0.0363213129253446	0.0297779810683238	0	0	0	0.175733688741112	0	0.0492738873900644	0	0.036147032886473	0.0193766440546416	0	0	0	0	0	0.024549249004474	0.0601896574049568	1.02288706533847	0.0952963759733074	0	0	0.121690098001373	0.42737257536101	0.0246134431041528	0	0	0.0268223857247158	0.03051098978131	0	0.171318772746591	0.0248050294408477
SRR20002386	0	0	0	0	0	0	0	0.370443900469478	0	0	0	0	0	0	0	0	0	0	0	0.118558831940006	0	0	0	0	0.272860222559781	1.08539805189926	0	0	0	0	0	0	0	0
