feature	Actinomycetaceae	Anoxybacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Beijerinckiaceae	Bifidobacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Dermatophilaceae	Effusibacillaceae	Enterobacteriaceae	Enterococcaceae	Halomonadaceae	Lactobacillaceae	Listeriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	NICIL.2	Neisseriaceae	Pasteurellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002425	0	0	6624	0	588	0	0	79732	0	0	568	0	1549	0	829	0	0	0	12305	48327	6444	0	0	0	16826	421760	1002	4101	0	2716	3642	617	586	0
SRR20002427	0	0	1116	0	1825837	0	13382	28296	0	0	3204	0	0	0	206	2783	0	0	1193	3834	84042	0	0	0	6163	138515	454	0	0	408	305	8332	0	0
SRR20002430	1131	0	0	0	657	0	0	38005	0	0	10696	0	4078	0	0	0	0	616	6750	6605	9342	0	21953	5320	35325	431167	558	0	0	661	6298	6371	362	0
SRR20002433	0	0	430	1076	0	0	0	65686	0	0	0	0	8017	681	479	1161	724	0	0	10395	4983	0	0	0	117683	331801	1252	20295	0	876	2299	0	374	0
SRR20002435	0	397	218	0	0	0	0	2176	0	217	0	235	22529	0	0	841	0	0	0	244	528613	385	0	0	836	13003	0	0	0	0	185	0	4263	0
SRR20002439	0	0	0	0	0	0	230	871	0	0	0	0	0	0	0	0	0	0	437	83	0	0	0	0	687	5176	0	0	0	0	0	0	0	0
SRR20002441	0	0	0	0	402	0	102	3407	0	0	0	0	2186846	0	0	525	0	0	0	117	158	269	0	0	306	7945	0	0	0	0	5594	0	1458	0
SRR20002442	0	0	565	0	0	0	0	63607	0	0	0	0	0	0	413	0	0	0	0	8996	1119	0	825	0	7015	318889	966	0	0	901	0	0	0	0
SRR20002443	0	0	0	581	1085	0	245	49950	0	0	280	0	3688	229	329	727	328	0	735	5295	181894	0	0	0	60789	205545	600	0	1155	953	61236	1194	0	262
SRR20002446	321	0	0	0	0	0	0	52674	669	0	339	0	0	2175	0	637	0	0	3608	3502	19006	0	390	0	39688	116890	483	478	0	320	53599	156824	0	0
SRR20002448	0	0	0	613	0	0	0	64656	0	0	0	0	2658	0	414	0	0	0	6097	6875	5005	0	398	38654	36029	291847	926	0	0	784	8321	41415	0	0
SRR20002450	0	0	0	0	0	0	0	1661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3081	5559	0	0	0	0	387443	0	0	0
SRR20002455	0	0	0	1103	0	0	0	69444	0	0	1273	0	2239	404	446	492	0	0	444	10183	1773	0	0	0	31470	299230	982	0	0	1336	1162	471	0	0
SRR20002456	0	0	0	0	0	0	0	26474	0	0	0	0	0	0	0	2674	0	0	489	3555	545	0	0	0	3952	140105	0	0	0	502	0	0	0	0
SRR20002459	389	0	0	0	0	0	0	34603	422	0	0	0	496	2283	377	0	0	0	1163	13789	2592	0	0	0	6446	176792	969	988	0	713	83775	0	0	0
SRR20002464	0	877	5867	0	2025	503	402	10429	0	535	0	490	301	0	0	0	0	0	142	1109	633	1654	0	0	2921	60035	143	0	356	215	0	0	8912	0
SRR20002465	0	0	0	191	17821	0	6803	16074	0	0	859	0	775	0	0	156	0	0	0	1068	762239	0	0	0	4574	79346	152	970	0	345	0	2723	0	0
SRR20002466	0	0	1535	0	0	0	0	54134	0	0	0	0	0	0	0	0	0	0	1481	6292	990	0	456	0	17460	275228	864	0	0	830	111483	0	288	0
SRR20002468	0	0	0	0	2403	0	0	983	0	0	0	0	572252	0	0	0	0	0	0	0	393017	0	0	0	0	1152	0	0	0	0	3402	331	0	0
SRR20002473	408	0	0	237	0	0	0	30174	0	0	0	0	219	183	256	0	0	0	302	2542	1424	0	0	0	6443	148341	311	0	0	546	1365680	11130	0	0
SRR20002474	0	0	1207	428	1864	0	0	63834	652	0	439	0	601	0	422	0	504	319	17052	6587	2922	0	0	0	12203	246368	0	0	0	1602	3978	1260	0	0
SRR20002475	590	0	780	0	0	509	0	82039	0	0	7727	0	11663	0	550	0	0	744	1795	10338	8316	0	493	0	41850	350275	1435	0	335	1440	2527	30930	175	3063
SRR20002477	1120	1752	913	0	0	0	0	38818	0	811	2533	892	0	0	353	209	0	697	2724	6109	5260	358	8594	343	12018	194627	853	0	676	1217	1063	2696	12775	252
SRR20002478	0	294	268	0	0	0	0	5454	0	234	0	199	0	0	0	0	0	828	332	688	0	192	0	0	1818	75248	115	0	0	0	0	0	3704	0
SRR20002479	0	0	0	0	0	0	0	2340	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	832	12625	0	0	0	0	27250	0	0	0
SRR20002481	0	0	0	0	231	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	225	2140	0	0	0	0	0	0	1413	0
SRR20002482	0	1001	122	0	0	0	0	10945	0	639	0	436	0	0	0	0	0	0	300	773	367	2595	0	0	2919	50654	149	155	413	178	120	0	10455	0
SRR20002486	0	0	1626	0	0	0	0	16962	0	0	0	0	0	0	135	0	0	0	298	1596	313	0	0	0	6639	91193	239	264	0	298	236	0	0	0
SRR20002487	0	2983	2123	0	0	259	0	28965	301	1802	0	992	723	0	263	0	0	0	492	4951	979	5225	0	0	17897	452670	461	0	991	678	808	0	22401	728
