#Classification	GQ17b_bracken_P.kreport
k__Bacteria	1833930
k__Bacteria|p__Firmicutes	1279800
k__Bacteria|p__Actinobacteria	114782
k__Bacteria|p__Bacteroidetes	341236
k__Bacteria|p__Proteobacteria	80736
k__Bacteria|p__Fusobacteria	17068
k__Bacteria|p__Candidatus_Saccharibacteria	298
k__Bacteria|p__Spirochaetes	8
k__Eukaryota	5221
k__Eukaryota|k__Metazoa	4588
k__Eukaryota|k__Metazoa|p__Chordata	4588
k__Eukaryota|k__Viridiplantae	633
k__Eukaryota|k__Viridiplantae|p__Streptophyta	633
k__Viruses	7
k__Viruses|k__Heunggongvirae	7
k__Viruses|k__Heunggongvirae|p__Uroviricota	7
