#Classification	GQ17b_bracken_C.kreport
k__Bacteria	1833930
k__Bacteria|p__Firmicutes	1279800
k__Bacteria|p__Firmicutes|c__Bacilli	1028286
k__Bacteria|p__Firmicutes|c__Negativicutes	227934
k__Bacteria|p__Firmicutes|c__Clostridia	22334
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	340
k__Bacteria|p__Firmicutes|c__Tissierellia	903
k__Bacteria|p__Actinobacteria	114782
k__Bacteria|p__Actinobacteria|c__Actinomycetia	114781
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1
k__Bacteria|p__Bacteroidetes	341236
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	340593
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	642
k__Bacteria|p__Proteobacteria	80736
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	18797
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	15427
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	46509
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2
k__Bacteria|p__Fusobacteria	17351
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	17351
k__Bacteria|p__Candidatus_Saccharibacteria	15
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	15
k__Bacteria|p__Spirochaetes	8
k__Bacteria|p__Spirochaetes|c__Spirochaetia	8
k__Eukaryota	5221
k__Eukaryota|k__Metazoa	4588
k__Eukaryota|k__Metazoa|p__Chordata	4588
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	4588
k__Eukaryota|k__Viridiplantae	633
k__Eukaryota|k__Viridiplantae|p__Streptophyta	633
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	633
k__Viruses	7
k__Viruses|k__Heunggongvirae	7
k__Viruses|k__Heunggongvirae|p__Uroviricota	7
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	7
