#Classification	GQ1_bracken_P.kreport
k__Bacteria	3667099
k__Bacteria|p__Actinobacteria	1517120
k__Bacteria|p__Firmicutes	1267559
k__Bacteria|p__Tenericutes	108
k__Bacteria|p__Deinococcus-Thermus	3
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Proteobacteria	503211
k__Bacteria|p__Bacteroidetes	350035
k__Bacteria|p__Fusobacteria	21481
k__Bacteria|p__Spirochaetes	4567
k__Bacteria|p__Candidatus_Saccharibacteria	2543
k__Bacteria|p__Synergistetes	467
k__Eukaryota	7910
k__Eukaryota|k__Metazoa	7609
k__Eukaryota|k__Metazoa|p__Chordata	7609
k__Eukaryota|k__Fungi	72
k__Eukaryota|k__Fungi|p__Basidiomycota	54
k__Eukaryota|k__Fungi|p__Ascomycota	18
k__Eukaryota|k__Viridiplantae	227
k__Eukaryota|k__Viridiplantae|p__Streptophyta	226
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Viruses	396
k__Viruses|k__Heunggongvirae	396
k__Viruses|k__Heunggongvirae|p__Peploviricota	251
k__Viruses|k__Heunggongvirae|p__Uroviricota	145
