#Classification	S-19-POLPIL-G_bracken_P.kreport
k__Bacteria	31696
k__Bacteria|p__Proteobacteria	27962
k__Bacteria|p__Cyanobacteria	2213
k__Bacteria|p__Actinobacteria	623
k__Bacteria|p__Firmicutes	596
k__Bacteria|p__Acidobacteria	233
k__Bacteria|p__Bacteroidetes	60
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	6356
k__Eukaryota|k__Viridiplantae	4703
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4703
k__Eukaryota|k__Metazoa	1639
k__Eukaryota|k__Metazoa|p__Chordata	1639
k__Eukaryota|k__Fungi	13
k__Eukaryota|k__Fungi|p__Basidiomycota	9
k__Eukaryota|k__Fungi|p__Ascomycota	4
