#Classification	W-1-TORTOR-G_bracken_C.kreport
k__Bacteria	3370
k__Bacteria|p__Proteobacteria	2381
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1126
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	376
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	878
k__Bacteria|p__Actinobacteria	685
k__Bacteria|p__Actinobacteria|c__Actinomycetia	685
k__Bacteria|p__Firmicutes	8
k__Bacteria|p__Firmicutes|c__Bacilli	8
k__Bacteria|p__Acidobacteria	217
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	217
k__Bacteria|p__Bacteroidetes	78
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	78
k__Eukaryota	99
k__Eukaryota|k__Viridiplantae	54
k__Eukaryota|k__Viridiplantae|p__Streptophyta	54
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	54
k__Eukaryota|k__Metazoa	44
k__Eukaryota|k__Metazoa|p__Chordata	44
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	44
