feature	Absiella	Actinobacteria.gen...Trueperella.Streptomyces.	Actinobacteria.gen...Xylanimonas.Schaalia.Sanguibacter.	Actinomyces	Adlercreutzia	Akkermansia	Alistipes	Anaerococcus	Anaeromassilibacillus	Anaerostipes	Anaerotignum	Anaerotruncus	Atopobiaceae.gen..incertae.sedis	Bacteria.gen..incertae.sedis	Bacteroidales.gen..incertae.sedis	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Bittarella	Blautia	Butyricicoccus	Campylobacter	Christensenella	Clostridia.gen..incertae.sedis	Clostridiaceae.gen..incertae.sedis	Clostridiales.Family.XIII..Incertae.Sedis.gen..incertae.sedis	Clostridiales.gen...Clostridium.Eubacterium.	Clostridiales.gen...Clostridium.Flavonifractor.	Clostridiales.gen...Ruminococcus.Blautia.	Clostridiales.gen...Ruminococcus.Clostridium.Blautia.	Clostridiales.gen...Ruminococcus.Clostridium.	Clostridiales.gen...Ruminococcus.Eubacterium.	Clostridiales.gen...Sellimonas.Drancourtella.	Clostridiales.gen..incertae.sedis	Clostridium	Collinsella	Coprobacillus	Coprococcus	Coriobacteriia.gen..incertae.sedis	Desulfovibrio	Dialister	Dielma	Dorea	Eggerthella	Eggerthellaceae.gen..incertae.sedis	Eisenbergiella	Erysipelatoclostridium	Erysipelotrichaceae.gen..incertae.sedis	Escherichia	Eubacterium	Faecalibacterium	Faecalicatena	Faecalitalea	Fenollaria	Finegoldia	Firmicutes.gen...Carnobacterium.Phascolarctobacterium.	Firmicutes.gen...Catenibacterium.Roseburia.	Firmicutes.gen...Clostridium.Eubacterium.	Firmicutes.gen...Coprobacillus.Clostridium.	Firmicutes.gen...Erysipelatoclostridium.Clostridioides.	Firmicutes.gen...Lactobacillus.Lachnospira.	Firmicutes.gen..incertae.sedis	Flavonifractor	Fusicatenibacter	Gemella	Gemmiger	Haemophilus	Holdemanella	Holdemania	Hungatella	Intestinibacter	Intestinimonas	Lachnoclostridium	Lachnospira	Lachnospiraceae.gen..incertae.sedis	Lactobacillus	Lactococcus	Massilioclostridium	Massiliomicrobiota	Mediterraneibacter	Megamonas	Megasphaera	Merdibacter	Mesorhizobium	Mogibacterium	Neglecta	Odoribacter	Oscillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Peptoniphilaceae.gen..incertae.sedis	Peptoniphilus	Peptostreptococcaceae.gen..incertae.sedis	Phascolarctobacterium	Phocea	Porphyromonas	Prevotella	Ralstonia	Romboutsia	Roseburia	Rothia	Ruminococcaceae.gen..incertae.sedis	Ruminococcus	Ruthenibacterium	Saccharibacteria.gen..incertae.sedis	Senegalimassilia	Solobacterium	Staphylococcus	Stoquefichus	Streptococcus	Sutterella	Sutterellaceae.gen..incertae.sedis	Tissierellia.gen..incertae.sedis	Turicibacter	Tyzzerella	Veillonella
NS10	2	0	0	1	0	1	1	0	0	164	11	0	0	7	0	27	1	445	1	0	813	44	0	0	0	0	0	1	0	12	11	0	0	0	635	239	783	0	173	1	0	261	0	446	66	6	0	5	0	1	599	209	0	0	0	0	0	0	2	0	1	0	0	1	0	0	62	0	0	0	0	0	0	15	0	387	0	1	0	2	0	0	207	0	0	0	0	0	18	5	3	0	0	0	0	0	0	0	0	25	0	4	9	0	121	3	5	0	8	0	0	0	6	0	0	0	0	14	0
NS11	0	0	0	0	0	16	106	0	0	18	0	3	0	0	17	1067	0	166	3	0	97	7	0	1	0	0	14	0	0	15	14	0	4	0	374	41	60	0	17	1	38	0	0	27	0	4	0	0	0	4	52	234	2	2	0	0	0	0	0	0	0	1	142	6	0	1	0	2	31	1	0	0	0	2	0	113	7	0	0	0	0	0	201	0	0	0	5	19	161	214	0	0	0	0	0	0	94	0	0	1688	0	1	16	0	228	417	18	0	3	0	0	0	6	12	0	0	0	0	0
NS13	0	0	0	3	0	0	53	1	0	673	2	1	0	6	0	694	0	0	0	0	1660	11	0	0	0	0	5	0	2	0	50	0	0	0	121	57	0	0	43	0	0	1	0	310	17	0	3	7	3	0	429	493	3	0	1	1	0	0	0	0	7	0	354	6	0	0	79	0	0	10	3	7	0	16	0	307	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	3	0	0	87	0	287	0	3	0	0	0	0	0	25	0	0	6	1	0	0
NS21	0	0	0	1	0	0	0	0	2	383	0	2	0	6	51	1246	0	9	2	0	286	21	0	0	0	3	1	0	0	46	7	0	0	0	268	288	0	3	46	0	0	131	2	33	5	0	2	2	0	5	68	1201	0	0	0	0	0	2	4	0	1	30	6	121	7	0	37	4	0	12	0	20	0	16	0	153	0	0	0	0	0	0	0	0	0	0	0	0	26	41	0	0	0	0	0	1	0	0	0	3	0	3	885	0	190	64	20	0	0	0	0	1	24	0	0	0	0	4	70
NS25	0	0	0	0	0	0	86	0	0	65	209	2	0	17	0	1539	0	31	20	7	188	78	0	0	0	0	0	0	0	32	8	0	0	0	698	403	0	0	37	0	0	0	0	41	3	0	0	1	2	1	40	1145	0	0	0	0	161	0	0	0	1	0	9	270	0	0	48	0	0	16	0	1	0	24	0	189	0	0	0	0	0	0	0	0	0	0	0	1	18	44	0	1	0	0	0	1	0	0	0	1	0	2	4	0	201	3	7	0	0	0	0	1	1	1	2	0	0	205	0
NS27	0	0	0	0	0	43	43	0	0	303	0	0	6	0	0	627	0	1124	0	0	234	14	0	0	0	0	0	0	0	20	30	1	6	0	593	315	76	0	22	1	0	62	0	51	0	1	0	0	0	0	380	761	2	0	0	0	0	0	0	0	0	1	150	0	0	0	0	8	35	1	0	8	0	0	0	320	0	0	0	0	1	0	2	0	0	0	0	0	28	29	8	0	0	0	0	3	0	0	0	1	0	10	169	0	41	204	2	0	4	0	0	0	120	0	0	0	0	0	5
NS28	0	0	0	0	0	167	45	0	1	51	0	0	5	16	3	77	54	60	3	0	25	12	2	0	8	0	0	19	1	2	3	0	2	0	578	1162	6	203	37	0	0	112	0	13	1	2	0	0	0	0	72	452	0	0	0	0	16	0	0	0	0	0	43	3	2	0	0	5	21	0	0	2	0	0	5	67	0	1	0	0	0	0	1	0	0	0	0	3	41	41	5	0	0	0	2	0	0	0	2	2118	0	0	72	0	71	84	0	0	0	0	0	0	7	16	1	0	0	0	2
NS29	0	0	0	4	0	0	23	0	0	244	0	1	0	5	39	196	0	1064	3	1	519	1	0	0	0	0	4	28	0	0	0	0	0	78	280	214	94	0	6	0	0	87	0	0	39	3	11	122	10	0	78	335	2	0	0	0	0	0	106	0	8	0	292	11	0	0	0	0	0	0	18	54	2	254	0	12	0	6	1	2	0	0	0	0	0	2	0	0	21	0	0	0	5	0	0	2	0	0	0	1	0	92	228	0	253	864	88	0	0	0	0	1	32	0	0	0	5	9	0
NS30	4	1	2	0	0	0	1	0	1	202	0	0	0	5	0	88	0	464	0	0	1250	8	0	0	0	0	0	0	0	26	8	0	0	7	312	218	124	0	74	0	0	16	0	225	3	1	0	9	0	64	190	438	0	0	0	0	0	0	7	0	0	19	8	0	0	3	0	0	0	4	0	12	0	8	0	840	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	18	1044	0	4	15	0	8	0	0	0	0	22	0	8	0	2	0	1
NS32	0	0	0	0	0	11	31	0	8	28	0	1	0	0	0	205	6	55	10	0	105	16	3	0	0	3	8	0	0	6	7	0	1	0	579	443	17	151	248	0	3	419	0	42	0	4	0	1	1	1	829	653	4	0	0	0	8	0	0	3	0	0	50	2	11	0	4	0	0	0	1	3	0	0	0	148	40	0	0	0	0	0	0	0	0	0	0	5	120	18	0	2	0	2	0	0	0	1	1	783	0	3	104	0	88	234	4	0	1	0	0	0	11	3	0	0	0	0	0
NS34	0	0	0	0	0	44	137	12	1	1	0	2	0	2	1	2357	0	157	0	0	352	1	10	0	0	0	7	2	0	0	3	39	1	0	596	104	33	35	8	0	0	22	1	14	13	12	31	1	0	97	98	49	4	0	13	4	85	0	0	0	6	0	22	15	1	0	0	0	0	5	306	31	2	71	0	12	0	0	1	0	1	0	0	0	0	0	18	39	21	204	0	0	5	27	81	3	0	0	87	13	0	5	10	0	158	33	27	0	0	0	0	0	3	0	0	15	16	208	0
NS36	0	0	0	0	4	911	550	0	9	34	5	3	0	17	56	612	54	139	4	1	68	0	0	0	0	0	12	309	5	12	11	0	0	6	833	127	95	5	0	8	32	0	1	23	6	6	4	0	1	2	103	52	1	0	1	0	100	0	0	0	0	0	43	49	9	0	0	0	0	11	28	1	36	25	0	129	3	0	3	0	4	0	0	0	0	0	26	13	106	99	0	0	0	8	7	6	0	0	10	1	0	11	7	0	588	291	52	0	0	0	1	0	6	5	0	3	2	37	0
NS38	0	0	0	0	6	527	171	0	10	180	0	2	0	11	28	837	42	1151	2	0	69	2	0	2	3	1	4	0	0	0	6	10	6	0	619	338	57	26	55	0	11	35	2	16	5	15	0	7	1	8	360	282	0	0	0	0	0	0	1	9	0	4	11	2	13	0	0	2	0	3	0	1	0	13	0	67	18	0	0	0	0	0	0	0	0	0	4	22	31	65	0	0	0	0	0	0	0	0	0	0	0	6	36	1	170	457	9	0	0	0	1	0	0	5	0	0	1	0	3
NS39	0	0	0	1	0	16	119	0	2	2	0	0	0	226	5	363	17	317	1	0	130	8	0	1	0	0	5	148	3	3	14	0	2	0	461	547	33	1	109	2	0	205	0	69	2	16	0	0	52	1	103	1504	0	0	0	0	10	0	0	0	0	0	271	0	11	0	0	5	8	0	0	0	0	0	5	144	0	0	1	0	0	31	0	1	0	0	0	19	54	17	0	0	4	0	0	2	0	0	0	102	0	1	45	0	486	111	1	0	4	1	0	0	15	2	0	0	1	0	7
NS4	0	0	0	0	0	0	40	0	0	400	0	0	0	6	0	1023	0	251	1	0	96	10	0	0	0	0	0	0	0	7	5	0	0	1	306	123	17	0	0	0	0	36	0	13	0	0	0	0	0	23	1188	936	1	0	0	0	0	0	0	0	0	19	2	17	12	0	25	22	0	1	0	1	0	2	1	428	0	0	0	0	0	0	0	0	0	0	0	6	20	9	0	0	1	0	0	0	0	0	0	3	0	0	438	0	92	106	0	0	0	0	0	1	14	153	0	0	0	0	7
NS40	0	0	0	1	0	0	93	0	9	84	0	2	24	8	0	102	27	339	0	2	155	21	0	0	0	0	1	0	0	9	15	0	0	0	1049	137	72	0	62	0	0	0	2	207	0	11	1	3	1	0	130	555	1	0	2	0	0	0	0	0	0	0	14	5	12	1	0	0	27	1	2	1	0	1	1	307	77	0	1	0	0	10	41	0	0	1	0	2	125	31	5	0	0	0	1	0	12	0	1	100	0	0	169	0	475	1286	14	0	0	0	0	0	3	2	0	0	0	0	0
NS41	0	0	0	0	0	7	238	0	0	6	0	0	1	1	1	422	46	28	0	2	19	12	1	0	0	0	5	0	0	5	0	0	0	0	562	249	8	0	205	0	0	0	0	21	0	1	0	0	6	0	41	798	0	0	0	0	0	2	0	0	0	22	110	3	1	0	0	0	15	1	0	0	1	2	0	510	13	0	0	0	0	18	5	0	0	0	0	5	127	107	8	2	0	0	0	0	14	1	0	1821	0	2	148	0	74	126	2	0	3	0	0	0	3	24	0	0	0	0	0
NS46	0	1	0	0	35	5	47	0	3	121	0	0	0	5	3	365	0	205	4	1	329	6	0	6	1	1	9	419	0	39	22	0	2	0	545	408	0	29	280	0	0	57	0	95	12	62	3	4	0	4	187	180	0	0	0	1	0	0	1	0	1	0	23	3	0	0	14	0	0	1	0	0	0	2	0	362	2	0	0	0	0	0	0	0	0	0	0	6	29	7	0	1	0	1	5	3	0	0	10	20	0	6	78	0	805	858	35	0	0	0	0	0	0	0	0	1	18	0	0
NS51	0	0	1	0	0	0	0	1	0	484	0	0	0	0	0	74	1	604	0	0	840	21	0	0	0	0	1	0	0	50	17	0	0	2	305	222	152	0	21	0	1	0	0	41	0	18	0	3	12	17	411	588	0	0	3	0	2	0	0	0	3	0	15	2	0	0	91	1	0	1	1	7	0	3	0	629	11	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	6	33	176	0	0	18	3	1	95	124	0	424	257	0	0	0	0	0	0	55	1	0	0	0	0	3
NS55	0	0	0	0	1	1	4	0	0	140	0	0	0	342	0	143	0	95	0	2	523	25	0	1	0	0	0	0	0	62	29	0	0	0	429	99	42	0	9	0	0	8	0	92	10	2	0	20	2	3	262	498	0	0	0	0	0	0	0	0	0	0	8	1	0	1	0	0	0	3	0	2	0	2	3	2125	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	1	5	0	0	0	0	0	30	212	0	242	358	3	0	0	0	0	0	14	1	0	0	2	0	0
NS58	0	0	0	6	0	0	0	0	0	515	0	0	0	143	0	3	0	206	0	0	1495	6	0	0	0	0	1	0	0	59	49	0	8	0	823	40	62	0	31	0	0	0	0	149	2	2	0	14	0	0	66	83	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	1	0	4	0	3	0	1358	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	15	2	100	275	1	161	1	1	2	0	0	0	0	88	0	0	0	73	0	4
NS6	0	0	0	0	0	0	288	2	0	451	0	3	0	56	0	1549	0	0	0	1	440	21	0	0	0	3	0	136	0	51	18	4	0	0	499	165	29	1	35	0	0	7	1	138	8	0	1	2	1	0	192	493	0	0	6	0	0	0	0	0	1	0	16	5	0	0	0	0	0	1	55	2	0	1	0	677	0	0	0	0	0	0	0	0	0	0	0	11	37	123	0	1	0	26	36	0	0	0	30	7	0	18	99	0	51	38	1	0	0	0	0	0	14	0	2	8	0	0	0
NS62	0	2	0	1	8	50	54	0	1	467	0	4	0	37	1	34	0	163	0	1	1328	2	0	3	0	0	4	0	0	0	22	1	0	0	546	221	0	0	267	0	0	3	0	93	1	26	0	14	0	0	166	125	2	0	0	0	4	0	5	0	1	7	23	1	73	0	0	0	0	5	0	4	0	9	0	765	0	3	0	0	0	0	0	0	0	0	5	0	0	1	0	1	0	0	0	1	0	1	0	0	0	21	30	0	468	755	7	0	0	1	0	0	17	0	0	0	2	0	0
NS67	0	1	0	3	0	20	0	2	38	1	0	4	0	0	0	23	0	462	0	0	631	8	0	0	0	7	58	0	0	222	8	0	0	1	719	254	77	0	56	0	0	960	0	146	1	14	3	8	3	9	81	129	0	0	0	1	0	0	4	0	1	0	76	1	0	0	13	1	0	0	2	8	0	18	0	70	61	1	0	1	0	0	0	0	0	0	0	0	2	5	0	0	0	0	14	1	0	1	0	17	1	18	52	0	530	946	44	1	0	0	2	0	9	0	0	1	1	11	0
NS7	0	0	2	11	0	0	66	1	0	59	0	0	0	7	0	28	0	840	1	0	588	8	0	0	0	0	2	0	0	9	19	0	4	0	312	81	167	0	34	0	0	37	0	216	5	0	0	0	0	0	236	1151	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	3	0	1	0	126	0	0	1	291	318	0	0	0	0	13	55	3	0	0	0	0	39	2	0	0	0	0	3	16	0	0	0	315	0	422	95	0	111	45	0	1	0	0	0	0	56	8	1	0	25	0	14
NS70	1	0	1	0	0	0	2	0	0	281	0	0	0	82	0	54	0	406	0	0	606	33	0	0	0	0	0	0	0	0	51	0	1	0	352	155	134	0	65	0	1	0	0	123	6	5	0	0	1	0	552	652	0	0	0	0	0	0	0	0	0	0	73	2	0	0	0	2	0	1	0	4	0	2	0	1407	0	0	1	0	0	0	0	0	4	0	0	0	8	4	6	0	0	0	0	0	5	0	0	488	4	19	10	0	54	57	1	0	0	0	2	0	128	1	0	0	13	0	5
NS71	0	0	0	2	3	179	9	0	0	433	0	2	0	0	0	154	0	579	0	1	275	0	0	2	1	0	14	2	1	13	90	0	1	1	1572	277	82	32	18	0	0	1	2	55	0	48	0	4	2	0	300	28	4	32	0	0	37	0	1	0	6	1	102	3	7	1	0	0	0	5	1	28	0	11	1	65	2	0	1	0	0	0	0	6	0	1	3	0	331	4	0	0	0	0	0	5	0	0	0	2	0	214	5	0	81	351	47	0	0	0	0	0	32	0	0	0	13	250	0
NS72	0	0	3	18	0	3	0	0	0	81	0	0	0	135	0	3	0	1335	0	0	956	0	0	0	0	0	57	0	0	10	81	0	1	0	212	301	210	0	37	0	0	15	0	123	0	20	0	0	2	0	361	15	0	0	0	1	0	2	2	0	0	0	25	0	0	3	0	0	123	0	0	0	0	1	0	276	515	1	0	0	0	28	15	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	14	0	15	25	0	298	408	1	3	0	4	0	0	109	0	0	0	1	0	2
NS77	3	0	1	1	1	0	106	0	0	50	0	4	0	14	0	675	10	49	6	0	294	18	0	0	0	0	21	0	0	23	2	0	1	0	581	210	41	0	22	0	0	0	6	41	0	0	0	0	0	82	203	934	1	0	0	0	0	0	0	2	1	0	326	11	0	0	15	1	0	1	1	0	0	14	1	315	0	0	0	0	3	0	0	0	0	1	0	14	332	60	0	0	0	0	0	0	151	2	0	805	0	0	172	0	101	7	15	0	0	0	0	0	35	33	0	0	0	0	3
