#Classification	W-2-POLJUN-G_bracken_O.kreport
k__Bacteria	653288
k__Bacteria|p__Proteobacteria	479764
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	410515
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	171753
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	214667
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	20251
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1987
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1719
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	78
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	47813
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	9756
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	10228
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	26917
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	147
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	132
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	96
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	233
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	20
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	59
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	26
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	37
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	11
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	11
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	73
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	40
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	4
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	20834
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	19814
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	620
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	155
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	244
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	511
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	273
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	117
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	50
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	37
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	21
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	7
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	3
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	48
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	46
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	1
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	29
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	29
k__Bacteria|p__Proteobacteria|c__Oligoflexia	9
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	7
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	1
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	2
k__Bacteria|p__Actinobacteria	67406
k__Bacteria|p__Actinobacteria|c__Actinomycetia	66227
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	29834
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	16808
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	4923
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	3486
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	3768
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	3552
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	1079
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	489
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	261
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	230
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	491
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	122
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	120
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	947
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	19
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	11
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	22
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	48
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	2
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	460
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	415
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	44
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	284
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	284
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	215
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	31
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	183
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	196
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	196
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	22
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	12
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	8
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	1
