#Classification	S-7-POLPIL-G_bracken_P.kreport
k__Bacteria	12386
k__Bacteria|p__Proteobacteria	10929
k__Bacteria|p__Actinobacteria	897
k__Bacteria|p__Cyanobacteria	50
k__Bacteria|p__Firmicutes	186
k__Bacteria|p__Acidobacteria	259
k__Bacteria|p__Planctomycetes	52
k__Bacteria|p__Bacteroidetes	12
k__Eukaryota	3503
k__Eukaryota|k__Viridiplantae	2290
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2290
k__Eukaryota|k__Metazoa	1168
k__Eukaryota|k__Metazoa|p__Chordata	1168
k__Eukaryota|k__Fungi	43
k__Eukaryota|k__Fungi|p__Ascomycota	43
