#Classification	NS46_bracken_F.kreport
k__Bacteria	6401695
k__Bacteria|p__Firmicutes	3351487
k__Bacteria|p__Firmicutes|c__Clostridia	3203105
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	3203105
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2022118
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	930880
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	206288
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	16543
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	10758
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	13640
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	2875
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	122217
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	122217
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	63197
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	59019
k__Bacteria|p__Firmicutes|c__Bacilli	23706
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	16939
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	7137
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	6810
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2850
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	136
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	4
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	6766
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	6739
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	26
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae	1
k__Bacteria|p__Firmicutes|c__Tissierellia	1648
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	1648
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	1648
k__Bacteria|p__Firmicutes|c__Negativicutes	809
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	680
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	680
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	128
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	128
k__Bacteria|p__Actinobacteria	751936
k__Bacteria|p__Actinobacteria|c__Actinomycetia	613089
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	611977
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	611977
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	700
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	700
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	352
