#Classification	NS46_bracken_P.kreport
k__Bacteria	6401724
k__Bacteria|p__Firmicutes	3351487
k__Bacteria|p__Actinobacteria	751936
k__Bacteria|p__Chloroflexi	8
k__Bacteria|p__Bacteroidetes	2177644
k__Bacteria|p__Verrucomicrobia	33901
k__Bacteria|p__Proteobacteria	86294
k__Bacteria|p__Spirochaetes	417
k__Bacteria|p__Candidatus_Saccharibacteria	18
k__Bacteria|p__Synergistetes	8
k__Bacteria|p__Fusobacteria	7
k__Archaea	22040
k__Archaea|p__Euryarchaeota	22040
k__Eukaryota	5
k__Eukaryota|k__Viridiplantae	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Viruses	43235
k__Viruses|k__Heunggongvirae	43184
k__Viruses|k__Heunggongvirae|p__Uroviricota	43184
k__Viruses|k__Sangervirae	51
k__Viruses|k__Sangervirae|p__Phixviricota	51
