#Classification	SRR20002363_bracken_P.kreport
k__Bacteria	11542645
k__Bacteria|p__Firmicutes	10330457
k__Bacteria|p__Actinobacteria	64058
k__Bacteria|p__Deinococcus-Thermus	485
k__Bacteria|p__Cyanobacteria	14
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Proteobacteria	1145987
k__Bacteria|p__Bacteroidetes	1534
k__Bacteria|p__Chlamydiae	88
k__Bacteria|p__Planctomycetes	7
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Fusobacteria	9
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Bacteria|p__Spirochaetes	1
k__Eukaryota	8059
k__Eukaryota|k__Viridiplantae	4722
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4722
k__Eukaryota|k__Fungi	2498
k__Eukaryota|k__Fungi|p__Basidiomycota	1634
k__Eukaryota|k__Fungi|p__Ascomycota	863
k__Eukaryota|k__Metazoa	836
k__Eukaryota|k__Metazoa|p__Chordata	836
k__Eukaryota|p__Apicomplexa	1
k__Eukaryota|p__Euglenozoa	1
k__Viruses	22
k__Viruses|k__Heunggongvirae	22
k__Viruses|k__Heunggongvirae|p__Uroviricota	22
