#Classification	GQ5_bracken_O.kreport
k__Bacteria	7788112
k__Bacteria|p__Firmicutes	3653926
k__Bacteria|p__Firmicutes|c__Bacilli	2245575
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2028945
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	216629
k__Bacteria|p__Firmicutes|c__Negativicutes	1303783
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	1291291
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	12492
k__Bacteria|p__Firmicutes|c__Clostridia	99569
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	99569
k__Bacteria|p__Firmicutes|c__Tissierellia	4997
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	4997
k__Bacteria|p__Actinobacteria	503219
k__Bacteria|p__Actinobacteria|c__Actinomycetia	502788
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	470400
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	18676
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	10520
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	3190
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	431
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	416
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	15
k__Bacteria|p__Tenericutes	25
k__Bacteria|p__Tenericutes|c__Mollicutes	25
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	25
k__Bacteria|p__Bacteroidetes	2842582
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2799907
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2799907
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	42674
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	42674
k__Bacteria|p__Proteobacteria	713601
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	385153
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	230727
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	154424
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	239726
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	232348
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	6786
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	564
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	8
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	88536
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	88536
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	184
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	60
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	43
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	30
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	33
k__Bacteria|p__Fusobacteria	72214
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	72214
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	72214
k__Bacteria|p__Candidatus_Saccharibacteria	1479
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	1479
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	1479
k__Bacteria|p__Spirochaetes	1061
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1061
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	1061
k__Eukaryota	4067
k__Eukaryota|k__Metazoa	2978
k__Eukaryota|k__Metazoa|p__Chordata	2978
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2978
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	2978
k__Eukaryota|k__Fungi	259
k__Eukaryota|k__Fungi|p__Basidiomycota	259
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	259
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	259
k__Eukaryota|k__Viridiplantae	827
k__Eukaryota|k__Viridiplantae|p__Streptophyta	827
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	827
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	406
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fabales	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Celastrales	1
