Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
NS10_paired_1	8.927409406996489	45.0	75.44954923996241	76	0.0	12.419912
NS10_paired_2	8.936805240305105	45.0	74.51761067228173	76	0.0	12.419912
NS11_paired_1	12.540209524169484	45.0	75.42944542657901	76	0.0	15.303402
NS11_paired_2	12.233928034198016	45.0	74.64490144086916	76	0.0	15.303402
NS13_paired_1	14.97793507513704	41.0	75.28153830774833	76	0.0	18.596773
NS13_paired_2	14.932376347635895	41.0	75.02570860008885	76	0.0	18.596773
NS21_paired_1	15.489165977593302	46.0	75.2455224498046	76	10.0	20.873077
NS21_paired_2	13.436179453009359	45.0	74.72793632678115	76	10.0	20.873077
NS25_paired_1	15.179063745864127	47.0	75.35851586463507	76	0.0	27.748573999999998
NS25_paired_2	14.528458376299099	47.0	74.85602730432201	76	0.0	27.748573999999998
NS27_paired_1	7.0406923504808105	46.0	75.250484725597	76	0.0	15.887855
NS27_paired_2	6.888646911826527	45.0	74.54903893571536	76	0.0	15.887855
NS28_paired_1	17.904030996845563	45.0	75.41470030808365	76	10.0	24.342415
NS28_paired_2	16.08697694980586	45.0	74.77778305891178	76	0.0	24.342415
NS29_paired_1	8.43232299291165	45.0	75.13348435739985	76	0.0	18.657512
NS29_paired_2	7.865935944159148	45.0	74.41555101237508	76	0.0	18.657512
NS30_paired_1	20.73255597679065	43.0	74.97388633842242	76	10.0	20.909247
NS30_paired_2	16.57473043052859	43.0	74.35258338093189	76	10.0	20.909247
NS32_paired_1	8.102444410029904	45.0	75.21991400938745	76	0.0	19.163021999999998
NS32_paired_2	7.780718047080654	45.0	74.46387266058558	76	0.0	19.163021999999998
NS34_paired_1	9.760194346754574	43.0	75.51743107824339	76	0.0	12.733061999999999
NS34_paired_2	9.63171684175343	43.0	74.60257823294978	76	0.0	12.733061999999999
NS36_paired_1	8.048842663637828	48.0	75.33098111240675	76	0.0	16.378847
NS36_paired_2	8.012316832552386	48.0	74.31210536370479	76	0.0	16.378847
NS38_paired_1	3.557681196943463	47.0	75.34540583540375	76	0.0	11.631723
NS38_paired_2	3.5252186893011697	47.0	74.25297412945615	76	0.0	11.631723
NS39_paired_1	15.481493396252745	45.0	75.1233212011037	76	0.0	18.491792
NS39_paired_2	15.167441792831255	45.0	74.52721315489596	76	0.0	18.491792
NS40_paired_1	12.593374430860877	47.0	75.29202870965653	76	0.0	22.927756
NS40_paired_2	12.094072164929187	47.0	74.59414802739526	76	0.0	22.927756
NS41_paired_1	19.318804681458957	46.0	75.42906796319167	76	0.0	25.303946999999997
NS41_paired_2	18.464627102756168	46.0	74.98616666403862	76	0.0	25.303946999999997
NS46_paired_1	6.7450022992278065	45.0	75.3997411656591	76	0.0	17.201736
NS46_paired_2	6.6819422832327575	45.0	74.5669249894313	76	0.0	17.201736
NS4_paired_1	8.485993108208035	44.0	75.31626522854498	76	0.0	15.015141
NS4_paired_2	8.18471123444921	44.0	74.93167530028522	76	0.0	15.015141
NS51_paired_1	8.375690508003657	45.0	75.29145385564058	76	0.0	21.667502
NS51_paired_2	7.988653643276862	45.0	74.94926840205207	76	0.0	21.667502
NS55_paired_1	12.52478445160456	42.0	75.5482835988131	76	0.0	14.444728999999999
NS55_paired_2	12.091425746819297	42.0	74.93419031952763	76	0.0	14.444728999999999
NS58_paired_1	21.113103680657403	42.0	75.43595490153224	76	0.0	27.681649999999998
NS58_paired_2	19.003661676298236	42.0	75.31919184730678	76	0.0	27.681649999999998
NS62_paired_1	6.29229399780273	42.0	75.54682494494325	76	0.0	13.906562
NS62_paired_2	6.182657645417365	42.0	74.90967336139586	76	0.0	13.906562
NS67_paired_1	23.25676324855823	46.0	75.3714922287757	76	0.0	29.029080999999998
NS67_paired_2	22.420992198266845	46.0	75.08823090197033	76	0.0	29.029080999999998
NS6_paired_1	9.36841402312001	43.0	75.343664494212	76	0.0	21.143670999999998
NS6_paired_2	9.179520725010136	43.0	75.12611329413895	76	0.0	21.143670999999998
NS70_paired_1	14.235708009809471	43.0	75.62019061745971	76	0.0	20.920538999999998
NS70_paired_2	11.636641619133883	43.0	74.96071931989897	76	0.0	20.920538999999998
NS71_paired_1	8.026738639837816	45.0	75.60183954789905	76	0.0	20.413494
NS71_paired_2	6.31850866708092	45.0	74.77203936768493	76	0.0	20.413494
NS72_paired_1	14.090329042026426	44.0	75.60302917535391	76	0.0	21.750276
NS72_paired_2	11.484676929253766	44.0	74.72162895771989	76	0.0	21.750276
NS77_paired_1	6.32497799549067	46.0	75.46547430467986	76	10.0	17.767535
NS77_paired_2	8.488358994217364	46.0	74.51213671451893	76	0.0	17.767535
NS78_paired_1	4.866158527108695	41.0	74.68895918128163	76	30.0	14.573412
NS78_paired_2	5.370822965249133	41.0	73.37115090138123	76	0.0	14.573412
NS79_paired_1	10.985195653056635	44.0	75.62122686992299	76	0.0	16.996862999999998
NS79_paired_2	9.531953969375735	44.0	74.76817357414718	76	0.0	16.996862999999998
NS7_paired_1	10.031019489882482	46.0	75.38683431838773	76	0.0	22.081014
NS7_paired_2	9.684142846198867	46.0	75.1237868876855	76	0.0	22.081014
NS81_paired_1	12.070240521754599	42.0	73.62402758714357	76	0.0	16.345295
NS81_paired_2	12.188988303812764	42.0	72.94999356083815	76	0.0	16.345295
NS83_paired_1	5.2906814569680165	45.0	75.63625247124848	76	0.0	18.816399999999998
NS83_paired_2	4.200423504772871	45.0	74.81310596075764	76	0.0	18.816399999999998
NS86_paired_1	15.285330070131778	46.0	75.41738478108824	76	0.0	17.846505999999998
NS86_paired_2	13.250233187110837	46.0	74.36003546016234	76	0.0	17.846505999999998
NS9_paired_1	11.920671033253342	45.0	75.25606169280238	76	10.0	18.630893
NS9_paired_2	10.53484208864785	45.0	74.69240728289299	76	10.0	18.630893
