Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
NS10_paired_1	(1, 0.021151518625896867)	(2, 0.0)	(3, 0.0)	(4, 0.1569012727304348)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 8.051586838940565e-06)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 5.233531445311368e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 4.0727708025016095e-06)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS10_paired_2	(1, 0.003019345064602712)	(2, 0.0002818055393629198)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.007544336868087311)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 1.2077380258410849e-05)	(22, 0.0005676368721453099)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0001610317367788113)	(38, 0.0003743987880107363)	(40, 0.0)	(42, 0.0)	(44, 1.2077380258410849e-05)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.00019986394716033304)	(76, 0.0)
NS11_paired_1	(1, 0.019832191561065964)	(2, 0.0)	(3, 0.0)	(4, 0.15094682868554327)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 3.2672473741459576e-05)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS11_paired_2	(1, 0.0021825212459294996)	(2, 0.00020910383194534132)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.005946390220945643)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 6.534494748291916e-06)	(22, 0.00048355261137360175)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.00011108641072096256)	(38, 0.00040187142701995286)	(40, 0.0)	(42, 0.0)	(44, 9.801742122437873e-06)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.00012048660376998202)	(76, 0.0)
NS13_paired_1	(1, 0.11959064080633774)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 7.797051671276517e-05)	(24, 0.0022745881772068734)	(26, 2.6886385073367297e-05)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0007501301435469477)	(36, 1.3443192536683648e-05)	(38, 0.0)	(40, 0.0004059844146078462)	(42, 0.0006345186877314683)	(44, 0.0006587164342974988)	(46, 0.0)	(48, 0.0)	(50, 0.00045470666872800356)	(52, 0.002849259904739744)	(54, 0.0015371209292004266)	(56, 0.0)	(58, 0.0)	(60, 0.00028675816345870764)	(62, 0.0002055500486413635)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.1214743754460138e-05)	(74, 0.0)	(76, 0.0)
NS13_paired_2	(1, 0.0)	(2, 0.0)	(3, 5.37727701467346e-06)	(4, 0.0020863834816933022)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0004436253537105604)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.00014249784088884667)	(36, 2.9575023580704027e-05)	(38, 0.0010378144638319778)	(40, 0.0003253252593877443)	(42, 0.0003226366208804076)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00017828335335104227)	(54, 0.00023861410110095733)	(56, 0.0005662486408671445)	(58, 0.0006098024513511636)	(60, 0.0005661787982750566)	(62, 0.0002266138825820065)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS21_paired_1	(1, 0.11745752674605664)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 9.3421779644659e-05)	(24, 0.0021774460947947445)	(26, 1.6768011731092642e-05)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0007761194001248594)	(36, 4.790860494597898e-06)	(38, 0.0)	(40, 0.00043117744451381083)	(42, 0.0006515570272653141)	(44, 0.0005844849803409435)	(46, 0.0)	(48, 0.0)	(50, 0.0004817994620241589)	(52, 0.0028024352152567072)	(54, 0.0016534040443950074)	(56, 0.0)	(58, 0.0)	(60, 0.0002628218234977214)	(62, 0.0002565377484668877)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 2.504842925934074e-06)	(74, 0.0)	(76, 0.0)
NS21_paired_2	(1, 0.0)	(2, 0.0)	(3, 1.916344197839159e-05)	(4, 0.001964252802785138)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 2.395430247298949e-06)	(14, 0.0)	(16, 0.00041201400253541924)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.00016049382656902958)	(36, 4.7908604945978974e-05)	(38, 0.0009509858081776827)	(40, 0.00040243228154622344)	(42, 0.00029703335066506967)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00014695945229705815)	(54, 0.0002855406590176777)	(56, 0.0005589460358016115)	(58, 0.0005249579411022583)	(60, 0.0004933679928030128)	(62, 0.00021233321164500517)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
NS25_paired_1	(1, 0.11668707732512668)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00010090608620104226)	(24, 0.0022145282132335882)	(26, 1.621704956802465e-05)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0007243615473717677)	(36, 1.801894396447183e-06)	(38, 0.0)	(40, 0.0004414641271295599)	(42, 0.0005657948404844155)	(44, 0.0005910213620346761)	(46, 0.0)	(48, 0.0)	(50, 0.0005030194962243519)	(52, 0.002896917919689086)	(54, 0.0015597910575638806)	(56, 0.0)	(58, 0.0)	(60, 0.00025019564112076036)	(62, 0.0002528210709434612)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 7.47868509309972e-06)	(74, 0.0)	(76, 0.0)
NS25_paired_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0020829899222929438)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.603788792894366e-06)	(14, 0.0)	(16, 0.0004018224504077219)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.00012433071335485565)	(36, 2.5226521550260565e-05)	(38, 0.0009766267628743735)	(40, 0.0003117277305853627)	(42, 0.00029551068101733803)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00016852345690681247)	(54, 0.0002293800948322849)	(56, 0.0005744313682847258)	(58, 0.000531581671784995)	(60, 0.0004885984894718593)	(62, 0.00021053425862829477)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
