#Classification	NS25_bracken_P.kreport
k__Bacteria	20318389
k__Bacteria|p__Bacteroidetes	12217367
k__Bacteria|p__Firmicutes	7963735
k__Bacteria|p__Actinobacteria	97397
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Proteobacteria	39248
k__Bacteria|p__Spirochaetes	317
k__Bacteria|p__Verrucomicrobia	226
k__Bacteria|p__Fusobacteria	57
k__Bacteria|p__Candidatus_Saccharibacteria	38
k__Eukaryota	402
k__Eukaryota|k__Fungi	240
k__Eukaryota|k__Fungi|p__Ascomycota	232
k__Eukaryota|k__Fungi|p__Basidiomycota	8
k__Eukaryota|k__Viridiplantae	162
k__Eukaryota|k__Viridiplantae|p__Streptophyta	162
k__Archaea	39
k__Archaea|p__Euryarchaeota	39
k__Viruses	4475
k__Viruses|k__Heunggongvirae	4475
k__Viruses|k__Heunggongvirae|p__Uroviricota	4475
