#Classification	S-12-POLPIL-B_bracken_F.kreport
k__Bacteria	15429
k__Bacteria|p__Proteobacteria	13092
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	7417
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	5832
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	4436
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	1303
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	83
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Lichenihabitantaceae	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1558
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	1557
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingosinicellaceae	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	26
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	26
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3426
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	3426
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	3273
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	153
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2248
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1139
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	1139
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1010
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	1010
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	98
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	98
k__Bacteria|p__Actinobacteria	634
k__Bacteria|p__Actinobacteria|c__Actinomycetia	634
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	414
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	413
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	133
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	133
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	76
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	76
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	1
k__Bacteria|p__Cyanobacteria	466
k__Bacteria|p__Cyanobacteria|o__Nostocales	466
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	461
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	4
k__Bacteria|p__Acidobacteria	709
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	709
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	709
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	709
k__Bacteria|p__Bacteroidetes	494
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	408
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	408
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	408
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	82
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	82
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	82
k__Bacteria|p__Bacteroidetes|c__Cytophagia	4
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	4
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae	4
k__Bacteria|p__Planctomycetes	31
k__Bacteria|p__Planctomycetes|c__Planctomycetia	31
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	31
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales|f__Gemmataceae	31
k__Eukaryota	1561
k__Eukaryota|k__Viridiplantae	1561
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1561
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1549
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	1549
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae	1549
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	12
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	11
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales|f__Rosaceae	11
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Proteales|f__Proteaceae	1
