feature	Acidaminococcus	Actinomyces	Adlercreutzia	Agathobaculum	Akkermansia	Alistipes	Allochristensenella	Alloscillospira	Amedibacillus	Anaerobutyricum	Anaerococcus	Anaerofilum	Anaerofustis	Anaeromassilibacillus	Anaerosacchariphilus	Anaerostipes	Anaerotignum	Anaerotruncus	Avimonas	Bacteroidales.unclassified	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Bittarella	Blautia	Bradyrhizobium	Butyricicoccus	Butyricimonas	Campylobacter	Catenibacillus	Catenibacterium	Christensenella	Christensenellaceae.unclassified	Cibionibacter	Clostridia.unclassified	Clostridiaceae.unclassified	Clostridium	Collinsella	Coprobacillus	Coprococcus	Corynebacterium	Dakarella	Desulfovibrio	Dialister	Dielma	Dorea	Dysosmobacter	Eggerthella	Eisenbergiella	Enterocloster	Enterococcus	Erysipelatoclostridium	Erysipelotrichaceae.unclassified	Escherichia	Eubacteriaceae.unclassified	Eubacteriales.Family.XIII.Incertae.Sedis.unclassified	Eubacteriales.unclassified	Eubacterium	Evtepia	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalicatena	Faecalimonas	Faecalitalea	Fenollaria	Firmicutes.unclassified	Flavonifractor	Fusicatenibacter	Fusobacterium	GGB12785	GGB13404	GGB14025	GGB1456	GGB2652	GGB2653	GGB28262	GGB2848	GGB2980	GGB2982	GGB2987	GGB2998	GGB3000	GGB3005	GGB3033	GGB3034	GGB3109	GGB3256	GGB3277	GGB3278	GGB3280	GGB32900	GGB3304	GGB3321	GGB33469	GGB33512	GGB33586	GGB3363	GGB33928	GGB3444	GGB3453	GGB34797	GGB3499	GGB3511	GGB3534	GGB3537	GGB3588	GGB3593	GGB3602	GGB3612	GGB3614	GGB3619	GGB3653	GGB3730	GGB3746	GGB3819	GGB3828	GGB38744	GGB42389	GGB42994	GGB4456	GGB45432	GGB45491	GGB4567	GGB51441	GGB51510	GGB51647	GGB51959	GGB52130	GGB58158	GGB58233	GGB74510	GGB79634	GGB79734	GGB79916	GGB79973	GGB79998	GGB80011	GGB80055	GGB80140	GGB9176	GGB9186	GGB9189	GGB9211	GGB9290	GGB9293	GGB9296	GGB9302	GGB9342	GGB9345	GGB9453	GGB9474	GGB9512	GGB9522	GGB9524	GGB9531	GGB9534	GGB9545	GGB9559	GGB9581	GGB9602	GGB9614	GGB9634	GGB9635	GGB9640	GGB9697	GGB9699	GGB9707	GGB9708	GGB9712	GGB9713	GGB9719	GGB9721	GGB9739	GGB9747	GGB9758	GGB9759	GGB9760	GGB9766	GGB9767	GGB9770	GGB9781	GGB9787	GGB9790	GGB9832	Geddesella	Gemella	Gemmiger	Gordonibacter	Haemophilus	Holdemanella	Holdemania	Hungatella	Hydrogeniiclostidium	Hydrogenoanaerobacterium	Intestinibacter	Intestinimonas	Kluyvera	Lachnoclostridium	Lachnospira	Lachnospiraceae.unclassified	Lachnotalea	Lacrimispora	Lactobacillus	Lactococcus	Lawsonibacter	Leuconostoc	Ligilactobacillus	Limosilactobacillus	Longibaculum	Longicatena	Massiliimalia	Massilimicrobiota	Massilioclostridium	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Merdimonas	Mesorhizobium	Metaruminococcus	Methylobacterium	Mogibacterium	Monoglobus	Nanosynsacchari	Neglectibacter	Neobittarella	Odoribacter	Oscillibacter	Oscillospiraceae.unclassified	Parabacteroides	Paralachnospira	Paraprevotella	Pararuminococcus	Parasutterella	Paratractidigestivibacter	Parvimonas	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Phocaeicola	Phocea	Porphyromonas	Prevotella	Pseudobutyricicoccus	Pseudoflavonifractor	Pseudoruminococcus	Ralstonia	Raoultibacter	Rheinheimera	Romboutsia	Roseburia	Rothia	Ruminococcus	Ruthenibacterium	Saccharibacteria.unclassified	Sanguibacter	Schneewindia	Sellimonas	Senegalimassilia	Slackia	Solobacterium	Sphingomonas	Staphylococcus	Streptococcus	Sutterella	Turicibacter	Veillonella	Vescimonas	Waltera
NS38	0	0	37765	5411	1981848	638388	0	2712	0	189874	0	0	0	42613	0	420213	0	303	21665	0	1805351	135993	3249675	7496	565	244326	0	0	20565	0	0	0	4180	1101	295653	0	299168	138318	547928	96343	213369	0	0	36156	153211	3749	66344	33009	2631	0	75378	0	22476	0	11034	0	16649	32119	295875	11777	0	37369	740186	6171	0	0	0	27664	5817	67275	0	0	103	7281	0	0	2602	0	638	4244	4414	2428	1443	34490	28974	0	43	0	0	0	0	0	10701	1315141	23335	32158	139362	2159	0	4507	0	0	0	3302	0	1716	422	0	0	0	0	55485	73264	6531	0	0	0	0	282	0	0	0	6070	460	297401	0	0	0	0	0	389	482	0	0	20290	0	46515	0	1960	0	0	2362	0	1577	18031	0	35719	348	0	63942	42986	8852	0	0	3229	1710	0	2749	20369	0	1284	54573	0	981	0	3155	0	1424	10229	95997	0	44072	6293	11405	0	0	339258	0	44362	21586	0	28208	16559	2120	6428	0	12906	0	88984	9870	1319	0	2356	2462	0	6252	4058	445	0	4534	152832	188881	0	24486	0	0	18005	0	44745	0	0	0	0	0	0	6349	51607	0	0	0	0	0	0	3463	31076	0	8380	0	55595	80334	45647	222101	0	0	2058	0	0	0	0	0	0	919719	0	0	0	4803	4018	51821	0	0	0	28105	60673	0	933254	40617	0	26436	0	0	0	0	0	0	0	7428	4929	0	0	1859	0
NS39	0	0	0	20825	60818	669175	972	0	0	76438	0	253	0	8031	4698	317118	35509	0	3501	0	788891	88696	1577534	10526	1026	576409	0	24814	2600	0	0	0	1896	1199	1088524	0	106209	296935	188759	3379	598831	281476	0	110443	935192	370	345022	23447	0	0	1148	0	0	234849	258	1835	3741	16449	288591	18411	0	36218	6176328	4787	0	0	0	308781	7441	95964	0	0	0	0	0	8965	0	0	0	0	0	0	21887	0	0	138	0	0	340344	681360	0	0	0	1942	0	1745	0	0	0	4647	0	0	5596	0	0	0	0	0	0	0	0	41689	467	62076	0	0	0	610	0	0	0	9628	549	0	0	0	0	0	71	0	352	0	0	0	80408	0	0	1595	162132	0	13599	0	7867	0	0	0	0	2891	9225	0	0	0	934	0	0	0	0	388	0	0	4440	0	2317	0	267255	2723	0	56536	0	56288	0	27583	2707	0	498	4563	0	0	74480	17442	78303	2802	0	0	3445	0	0	0	858398	0	13155	32431	1314	1401	184	0	6112	11904	0	0	28343	637796	0	40836	0	0	416	0	306	0	0	0	0	0	209	0	75585	167400	0	0	0	0	0	0	0	0	0	0	78795	304402	28771	88591	0	0	0	0	0	9276	0	0	74327	752855	0	0	494929	0	1406	0	0	0	0	8878	96490	0	521674	12499	1373	0	0	0	29423	14224	1324	0	0	46158	11575	130	39836	67210	4769
NS4	0	0	0	74876	0	147213	0	0	0	43916	0	0	0	0	0	1006008	21327	0	0	0	1783241	0	1409258	2667	0	357468	0	0	0	0	0	0	0	0	107828	0	257871	480465	116897	0	51642	0	0	296551	137752	0	79951	85733	3323	0	0	0	3776	0	92405	0	0	123258	54614	0	0	21986	4406327	12677	0	0	0	20913	10732	122677	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483554	0	0	0	0	0	0	0	0	0	0	0	328	0	2695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195849	0	43213	0	2486	0	196	0	1203	0	0	2535	3425355	2030978	0	112095	0	0	38	0	0	0	656	0	0	0	0	0	73766	0	0	0	0	0	0	0	0	0	0	547	22423	0	0	44277	0	0	0	0	0	1256	0	1533	0	3007026	0	0	5372	0	0	0	0	0	534	0	2178213	0	467098	0	0	0	0	3115	0	0	0	0	0	66242	849156	760	19245	11330	0
NS40	0	0	531	98417	0	556700	0	0	0	422546	6167	0	0	61309	5541	499047	0	96	0	0	233630	150556	2302273	0	2549	915175	0	0	0	0	198	0	3958	9403	2315234	6550	521833	221120	1645309	0	414505	0	0	36293	768	10756	1173403	42202	0	910	6854	0	6879	0	2039	584	37461	34009	97291	53478	2645	31028	3224171	132780	0	0	18563	455918	23409	254425	0	0	14682	0	142	41887	0	0	0	0	34590	0	1540	0	0	0	0	0	676	0	0	2311184	0	6948907	0	13878	0	10543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61327	171664	1930	0	0	0	0	0	0	0	0	0	9988	0	0	1023	11719	0	3831	0	0	113616	0	0	0	276	167951	26440	0	0	0	0	0	0	0	0	0	0	0	0	0	2988	0	0	0	0	1961	12292	0	0	46241	0	0	0	44995	14597	114030	87512	2949	0	0	99	0	0	1250	38456	0	0	0	0	4440	0	0	0	0	396506	11078	0	145264	6900	7109	10182	0	6086	0	25	29619	77461	1454451	0	178738	0	0	20081	598	431935	0	0	0	0	0	520	0	220231	122467	240203	0	0	0	0	29955	737144	0	0	354	11609	681184	90777	207217	0	29060	0	0	226339	0	1228	0	42018	535500	2284	7141	493163	0	3101	0	0	0	31694	3020	922348	0	714100	88043	1650	0	0	0	0	80662	2900	0	0	48933	23753	0	0	533683	11404
NS41	0	0	0	55967	72988	1622296	0	0	0	10211	8777	612	0	0	4124	63225	91648	398	0	0	1861585	392038	260326	431	735	95046	0	0	31676	4058	0	648770	177	9270	122519	4284	189615	393385	420498	0	1553460	0	48619	17382	29	0	212320	133914	0	0	5274	2744	0	29511	0	48652	6178	13871	59360	11016	0	0	5591022	25655	0	0	3113	371168	10117	58645	0	0	15612	0	29	29392	0	0	4284	0	8741	0	29425	0	0	0	0	0	1637075	0	0	258798	0	672265	8962	0	0	4165	0	0	94	0	0	0	0	0	0	0	0	0	0	36396	0	768	60153	300	15813	0	0	0	255	0	0	0	0	0	0	0	0	7775	419	419	0	0	13961	0	0	0	1012459	0	50656	0	0	0	0	36235	0	0	0	14187	0	0	0	7443	2826	37427	0	10248	0	0	711	0	8244	78213	86575	0	0	282387	59467	51708	0	16142	0	0	296	0	3048	5853	10425	1031	27372	0	0	0	0	0	0	0	160193	0	0	96232	5282	115	419	0	0	3237	0	2855	252046	3577760	2682	68450	0	0	7200	0	105219	0	0	0	214	0	0	0	73494	120872	47383	0	0	0	14803	6449	44339	0	0	25	64942	694823	128459	685515	0	62412	526	271	15156	0	0	0	77905	1091539	238	1421	12287251	0	0	0	0	0	25334	6136	1016378	0	94864	28316	0	0	0	0	9858	9365	0	0	0	24608	187626	0	0	676274	3130
NS46	0	0	243681	3522	43147	187886	35	291	0	128350	267	0	369	31475	0	735538	14013	1780	48196	0	1100126	0	1034698	13344	4049	1209287	0	0	21461	2507	2836	3266	19490	33244	3060623	3746	56834	122239	188235	133815	1496387	1115052	35	0	224997	925	587233	36019	49769	1082	1280	0	31621	2391	13521	9877	13268	85689	513364	117731	1678	55551	773895	19798	0	0	17910	2914	12777	153360	596	0	0	4633	12663	42132	0	12	17794	0	56104	0	41678	0	0	0	2495	0	0	2461553	0	0	0	2132651	16933	8850	12210	134	5162	0	0	262	0	0	0	0	4357	0	0	0	0	0	74148	85741	0	0	2458	0	10229	0	0	10866	46657	0	0	352	0	812463	0	0	416	1876	0	3266	0	0	80148	0	251316	0	0	0	0	7475	0	12928	35085	0	0	0	0	0	0	0	9391	0	20214	3002	0	1320	1943	67139	0	209123	218296	0	31161	71274	166	68351	0	25510	471317	0	0	38034	138273	20446	5215	0	0	4363	0	2016	38028	52	0	0	132291	10090	0	0	7629	1765	4415	0	11070	0	0	6829	27860	1862361	0	244670	7763	0	3801	0	0	0	270	4054	5009	521	0	0	694290	0	0	0	0	1565	0	1271	34663	49	0	465	27863	89394	35614	50680	512	0	5040	2176	0	0	5296	0	378	623501	0	12937	114142	10715	564	969	0	0	2144	46032	317678	0	2092015	154020	0	0	515	0	0	0	273	0	5008	9836	0	85372	0	39744	19798
NS51	0	809	0	141531	0	3203	0	0	0	916363	2234	0	0	0	0	1483572	325	0	0	958	129055	7600	3991492	0	410	3866364	1161	0	0	0	0	0	196	0	657582	2180	526619	396028	1500930	0	122751	0	0	152	352	0	311178	931	0	0	183	0	21657	2851	90027	0	31858	68536	387961	57919	26258	0	3482719	0	0	0	55377	255297	11270	1783832	3890	0	0	0	2190	0	0	0	0	0	0	0	0	0	0	0	0	0	9347	0	0	0	0	1838	0	0	0	0	0	0	0	423	0	0	6642	0	0	0	0	58782	0	0	0	0	0	0	9693	0	0	0	32436	45264	1165	0	0	0	0	524657	0	0	0	0	0	6761	0	0	6957	0	19869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	62638	0	0	0	0	0	0	3484	0	0	1995633	0	41246	0	7272	17493	0	0	75578	0	1923	16660	4977	2440740	0	609667	55722	0	0	0	0	6345	0	0	0	0	0	0	1530290	0	0	0	18563	0	681	1270	23841	0	0	406	0	0	28285	12804	0	3243	0	0	0	0	64134	0	14426	345080	0	87046	10782	0	0	0	22646	0	13556	467040	847251	27	1893011	1056	1889	0	0	8660	0	37606	0	1063	0	212488	4540	4259	7387	15021	2116
NS55	0	684	11002	55833	1247	4395	0	0	2392	194340	0	0	0	0	0	423250	4318	0	0	0	257388	0	376914	0	0	2274390	0	14902	0	0	0	0	604	0	854036	571	248164	270163	385073	0	103115	0	0	16044	21391	263	371892	0	33723	0	0	19573	65941	68	3344	205	8353	41327	616608	36441	1014	1530556	1963025	170409	0	0	0	250158	5259	564094	0	90	403	0	0	0	0	0	0	0	2960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13925	0	0	0	0	0	0	0	54285	0	0	0	0	0	5032	0	0	0	0	0	0	0	0	0	418	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5465	0	0	0	12432	0	0	0	0	0	0	0	0	0	0	0	110187	6274	0	0	16615	108	333	40	3504	0	433	3086	172312	9366644	0	332091	0	2975	0	0	0	789	0	0	120	0	0	0	457207	0	0	0	0	0	0	0	13677	0	0	1455	4183	30778	30813	0	0	0	0	0	0	0	205	0	0	265701	0	0	0	0	0	0	0	0	1513	147075	901108	0	1632981	8503	1460	0	0	73	0	0	0	0	0	79401	0	1332	0	4463	6171
NS58	0	55014	0	38063	0	0	0	0	0	423522	0	0	0	0	0	4437866	0	0	0	0	5060	0	1710714	0	0	13521802	0	0	0	0	0	0	0	0	450	0	195572	32998	1288756	0	268055	0	0	32264	92	0	1357781	0	1518	83	0	4844	55670	0	0	10239	1914	1838276	61969	0	0	1287018	419743	0	1601	0	0	36554	2087	4458977	592	15625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	2014	0	0	0	0	0	0	0	0	0	0	0	0	0	71974	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5418	0	0	0	104422	0	0	0	0	0	0	0	0	15786	1339243	0	7680	0	24204	0	0	0	22662	0	4973	624	0	7528483	0	0	0	0	0	261	0	0	0	0	0	0	0	0	673354	0	0	0	555	0	0	78	0	913	0	0	0	514	0	500	0	0	0	0	0	0	0	0	5592	16933	0	0	140453	0	0	0	21938	0	0	637513	2536240	417	881	4684	8899	0	0	0	0	49527	142	0	0	550519	803	482344	6340	0	0
NS6	0	0	0	104689	0	1827094	0	0	0	701943	8993	0	0	0	0	2011739	0	656	0	0	3508299	0	37	1115	2247	2363191	0	0	243	0	0	0	0	0	86043	2789	240640	913883	1063636	6048	264471	0	0	545802	14568	9392	1069624	59686	68287	2756	9945	0	3635	21874	0	2543	20173	89272	656169	0	52937	373945	3141579	0	0	0	226927	81537	21960	971263	0	0	0	0	13190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942473	0	0	0	0	0	0	0	0	0	6364	0	0	0	0	0	0	0	0	0	0	10075	0	0	0	0	19960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39813	0	0	0	0	92014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154177	7216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1082	0	0	78628	0	513	0	7668	285519	2703	1960	14598	0	805	11622	0	3390819	0	466332	0	0	0	0	0	0	0	0	0	0	0	0	519442	0	0	0	0	0	0	0	0	0	0	5468	122425	170632	0	678336	0	0	0	8264	0	0	43062	0	0	4389818	0	151491	81042	0	1265	4943	0	0	10810	63910	606864	0	201675	30381	0	0	0	0	0	0	0	0	0	36022	0	0	526	45851	0
NS62	0	725	142388	8086	181845	175174	0	1193	0	494019	0	71	2743	3282	0	2020595	0	1312	0	5141	109618	0	593311	0	2695	4015829	0	0	0	0	0	0	4416	294	923159	4601	68784	295591	127960	0	1096934	5503	0	0	80	0	379147	408	8168	145	1228	0	40204	356	0	2546	35945	86689	26726	78392	0	191433	574384	1879	0	0	0	76101	1252	766303	0	0	0	0	0	0	7889	0	406	14371	6051	6370	0	0	24021	0	0	429	629530	0	0	0	38855	32	0	0	261	709	0	0	512	0	0	38254	2285	0	67	0	0	0	0	0	0	17984	0	1418	8597	0	32	0	0	248	3026	300	0	0	0	0	0	0	383	466	0	0	0	0	0	0	37674	0	0	0	0	0	0	0	0	0	0	0	0	7762	890	0	7182	4205	3094	764	0	0	0	0	0	0	0	0	0	13050	0	6345	0	4847	16862	0	0	0	0	0	25911	0	0	0	0	0	0	0	0	0	0	11786	0	0	11777	1684	1438	1367	36956	0	454	16349	81691	3237302	1337	361139	0	3656	0	0	0	0	0	39037	1239	0	0	989	234180	0	0	0	0	0	0	3773	25909	0	35736	534	1202	0	700050	21930	0	0	1152	250	0	0	0	0	14596	29214	0	0	0	0	0	131	0	0	0	55103	127238	0	3412229	11109	0	0	743	0	0	0	0	0	0	58906	0	0	0	35128	1844
NS67	0	8686	85741	85214	139019	0	0	243	0	287597	665	6571	2870	257907	0	10552	320692	6555	0	0	109293	0	2976027	11776	0	782108	0	0	9523	0	0	58439	0	2761	527396	15120	92028	584723	2098922	0	363617	0	0	16722	7003647	0	1129782	3669	12563	34428	84683	0	23207	0	18574	0	1326	167876	3608	201280	3134	0	1003354	0	0	0	2047	0	13511	43403	0	2716	6182	60105	0	0	57251	0	3146	0	16551	0	2988	0	191645	0	10390	0	1847396	0	0	0	29426	3619627	0	132456	0	4398	0	15627	0	1520	0	1240	0	18112	0	0	0	0	0	0	46719	122030	0	0	0	0	0	8156	0	1954	58467	25113	0	0	790	0	1030	0	7633	0	0	0	0	12064	0	0	1660053	0	0	5225	171850	0	57774	0	0	0	0	0	0	9384	26945	0	0	0	5197	6855	17208	0	3725	0	0	0	0	0	0	0	0	1673150	0	5096	172081	119934	0	0	0	0	162904	0	0	0	6632	0	0	0	0	0	1183624	0	0	0	0	40464	0	0	46249	0	0	47469	201496	497046	0	1350	0	0	2169	0	432101	0	0	34193	0	8943	0	0	3332935	0	0	0	401	3673	0	336	0	0	0	0	0	0	852020	6344	20	0	24517	0	0	332	63712	0	0	73693	25680	0	154586	78039	0	0	6056	0	0	83758	270612	0	1591443	339736	2457	0	0	15056	0	69566	454	0	0	80836	0	20382	965	0	91375
NS7	0	33828	0	56428	0	516240	0	0	0	497340	9975	0	0	4385	3342	287803	0	0	0	0	79917	0	4765395	12365	0	3316055	0	0	0	0	0	0	0	44	64895	1497	184925	498388	1162341	0	201813	0	0	606186	291312	0	1433748	7765	48574	0	0	12982	0	0	3663	2595	9555	29463	19220	0	0	45270	6008448	3383	0	0	0	178440	280	310457	0	13654	0	0	0	0	0	0	0	0	0	0	0	0	0	4563	0	36475	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10452	0	1899	0	0	0	106138	1722	0	0	0	0	614957	0	0	0	0	740	0	54508	0	0	13968	99986	0	0	0	0	0	0	0	0	0	0	5511	0	0	0	0	0	0	0	1238	0	2923	0	0	331	0	0	0	15915	22773	0	91740	0	0	0	0	631	0	0	37174	22019	9364	0	0	0	0	0	0	0	4116	634453	737	7475	0	880	0	0	0	699106	0	78	0	140042	1711205	0	240968	1252	0	0	0	2196112	0	0	0	0	0	0	0	233593	85428	325053	0	0	0	0	1733	0	27	0	0	7461	236320	26143	18814	0	0	621	1309	0	0	0	883	16328	132511	0	0	1542293	0	0	0	0	0	0	2469849	502920	454	292353	208	3247	2179	0	0	0	0	4048	0	0	231529	44458	155175	76705	116597	12601
NS70	3598	462	19322	177954	0	6016	0	0	0	543010	0	24	0	0	0	1620942	0	0	0	0	96267	0	1697986	0	0	4662328	567	0	70413	0	0	0	125	0	232170	2419	193659	185678	891776	0	372500	0	0	118337	0	0	639737	11812	13066	8398	2709	239835	3608	0	0	2490	22298	0	55300	23136	0	569415	3973035	0	0	0	0	72633	3864	671581	0	0	0	0	0	0	0	0	841	0	2415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8607	142	351	0	0	57817	0	2157108	3462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905	0	0	0	0	0	0	0	0	0	0	11546	0	0	0	0	0	0	0	0	0	89097	4405	230	0	8347	0	2375	0	8273	0	615	3926	415607	8919007	0	388826	0	10499	0	0	0	0	0	0	1827	4895	0	0	73080	0	0	0	17694	0	0	20031	0	0	0	0	0	23085	16080	20467	0	25210	0	0	0	0	0	0	19082	235427	0	0	2790680	0	0	0	22058	0	797	125440	50105	1209	381422	10299	0	0	0	0	0	0	0	554	0	542994	5756	39407	4769	28240	15039
NS71	0	7731	64158	37	1132264	42723	1284	24	0	502239	0	452	13523	5964	0	4163634	0	1807	14666	0	701147	0	3644055	0	590	1935101	0	0	0	0	6584	433260	7663	11045	194701	334	2613351	455900	1583068	187506	68422	0	0	0	1308	5091	369551	3102	14625	28330	79113	318984	3210	0	0	10876	165501	17780	14706	118521	0	10097	130749	14753	0	214208	0	1817	6942	146993	0	0	0	0	341	0	33893	0	8624	58548	583	2154	0	0	0	44078	4255	71	0	0	0	0	15859	1419	0	67772	260076	71	0	0	249	0	0	61814	0	27	7161	0	98	0	0	0	0	28104	0	239	0	0	14679	31829	0	15626	34189	39691	0	0	0	929404	0	0	1507	94	0	0	0	1922517	22484	0	30777	0	0	2792	4669	0	14558	0	4690	0	0	417020	186616	89595	7761	168370	1763	1898	0	0	7882	0	0	0	0	0	0	0	0	152262	0	0	0	11985	10465	0	0	0	0	0	0	0	0	494930	146321	42972	0	0	3523	499	14295	1730	0	158	4986	809	3088	9022	107567	0	0	52528	3688	66049	1804	4204	0	5640	5185	0	0	0	0	2333	2437	5310	2262	599733	369070	0	0	45740	0	0	0	16520	59545	0	29018	0	1305	4018	37308	20735	0	0	17794	0	0	151	0	0	201363	204940	0	0	2495	18586	769	0	0	2774	0	1015691	11746	57	2632866	302767	0	0	607	3941	0	145	0	0	0	125949	0	122581	0	1578	2633
NS72	0	74464	7463	5825	49484	0	0	0	332	1742913	0	0	356	0	0	284332	0	0	0	0	211	0	6837976	0	0	6585482	0	0	943	0	0	58703	0	0	737712	0	343753	1514384	2047267	0	191402	276	0	0	59946	0	760284	0	2159	0	0	0	1354	5058	0	14778	4378	48873	37440	259	0	721567	83773	12497	0	0	0	7028	0	995920	0	8217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15026	0	0	2396621	0	0	0	0	25637	0	0	0	0	0	5697	0	0	463	1123	0	0	366	0	2871	1299	359	0	0	0	0	0	5805	1510	0	49850	0	0	0	0	0	0	0	0	0	767	0	7038	0	4564	1648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4329	560	0	0	0	0	0	0	0	0	0	0	1116	0	0	0	0	0	0	0	0	0	0	0	173	0	0	9388	1040951	18381	0	476678	0	0	0	0	14712	0	916	7359	81658	858023	0	259503	6907	1064	0	0	3409212	2578	0	1240	0	466	0	0	185329	248748	83610	0	290	0	0	13803	387	1741	0	0	0	76	9028	0	0	0	0	0	1261	1334	0	0	0	32761	0	0	83617	0	0	0	0	2187	0	51018	126049	162	406546	3362	16025	0	0	0	0	178495	4128	0	788	635064	0	3552	35	570	0
NS77	237839	0	8974	74026	0	564344	0	0	14820	110404	7314	0	0	0	0	347786	840160	1220	0	0	573465	61018	196293	18837	871	380713	0	9157	305749	0	0	0	2246	0	50601	10497	607200	1365105	816460	0	117958	0	0	168447	0	8009	230006	207534	0	0	13577	0	0	0	405759	17526	12694	41026	153330	19829	0	123941	4379799	95850	4291	0	0	343758	29849	122496	0	0	0	0	0	0	0	0	0	0	0	0	89027	0	0	0	0	0	0	0	936732	0	0	0	0	0	0	0	0	0	0	1660	0	0	0	0	0	0	0	0	0	0	0	16417	0	1089	0	16226	0	0	82795	0	0	0	0	0	3866	0	0	0	0	0	1311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4880	0	0	0	0	112247	0	0	0	0	0	0	189	0	0	17934	48966	0	0	0	0	0	0	0	0	0	339609	0	1077	0	14817	2126	0	0	5649	2746	0	3020	390367	1375371	0	64904	0	0	8232	0	0	0	0	0	0	0	0	0	1199055	0	0	0	0	0	0	0	0	0	0	337	43380	1315739	54090	335934	0	0	0	0	0	0	0	0	518345	2823258	3220	0	4004978	0	971	0	0	0	17669	1497	799295	274	2534	72589	0	0	0	0	0	0	0	0	0	132538	148498	0	4568	424521	17574
NS78	0	0	0	59466	0	5620	0	0	0	1027705	5098	0	0	2481	0	692641	0	0	863	0	4300	0	1498447	0	0	1580310	0	0	8812	0	6773	1039950	0	624	256312	0	101276	102509	1076528	0	919370	0	0	20642	0	0	503629	0	0	0	467	16235	0	186067	0	995	13760	194468	486646	21844	0	63093	539682	124268	0	11410	0	69637	0	606289	0	0	695	0	0	10788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362114	0	0	250481	0	121	0	0	0	0	0	0	9289	0	0	0	0	26140	11	0	0	33643	0	13974	56634	5496	0	0	0	0	0	56572	264	0	1381209	9914	0	0	0	0	0	0	0	0	30404	0	0	117	53373	55212	661	0	0	1948	0	6800	0	0	4245	454	3862	0	0	0	0	0	0	0	0	0	356	35108	0	5920	17070	0	0	0	727	0	33603	183	827	0	0	3751	11770	13807	14202	7459	0	0	0	0	28680	0	0	0	69270	0	0	1441323	0	0	644	654	67583	183	765	0	319633	1501287	0	86377	0	0	0	0	24561	0	0	0	0	0	0	0	292138	0	0	0	3638	0	629	11691	0	0	0	0	0	15254	44336	1104	0	0	0	0	57797	0	0	0	0	660540	0	0	72996	0	0	0	4328	0	0	212651	307231	0	736459	15195	0	0	0	0	11358	11883	0	0	0	478153	0	13479	0	27900	12473
