#Classification	SRR20002418_bracken_P.kreport
k__Bacteria	58702
k__Bacteria|p__Proteobacteria	35705
k__Bacteria|p__Actinobacteria	6426
k__Bacteria|p__Firmicutes	16520
k__Bacteria|p__Deinococcus-Thermus	25
k__Bacteria|p__Bacteroidetes	24
k__Eukaryota	653
k__Eukaryota|k__Metazoa	363
k__Eukaryota|k__Metazoa|p__Chordata	363
k__Eukaryota|k__Fungi	284
k__Eukaryota|k__Fungi|p__Basidiomycota	260
k__Eukaryota|k__Fungi|p__Ascomycota	24
k__Eukaryota|k__Viridiplantae	6
k__Eukaryota|k__Viridiplantae|p__Streptophyta	6
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
