#Classification	SRR5091460_bracken_C.kreport
k__Bacteria	2343333
k__Bacteria|p__Bacteroidetes	1449482
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1449482
k__Bacteria|p__Firmicutes	829414
k__Bacteria|p__Firmicutes|c__Clostridia	790486
k__Bacteria|p__Firmicutes|c__Bacilli	33843
k__Bacteria|p__Firmicutes|c__Negativicutes	3616
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1441
k__Bacteria|p__Firmicutes|c__Tissierellia	25
k__Bacteria|p__Actinobacteria	29889
k__Bacteria|p__Actinobacteria|c__Actinomycetia	28516
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1372
k__Bacteria|p__Proteobacteria	31781
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	31213
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	395
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	86
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	73
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	11
k__Bacteria|p__Verrucomicrobia	2600
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2600
k__Bacteria|p__Fusobacteria	93
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	93
k__Bacteria|p__Spirochaetes	44
k__Bacteria|p__Spirochaetes|c__Spirochaetia	44
k__Bacteria|p__Synergistetes	26
k__Bacteria|p__Synergistetes|c__Synergistia	26
k__Eukaryota	112
k__Eukaryota|k__Viridiplantae	112
k__Eukaryota|k__Viridiplantae|p__Streptophyta	112
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	112
k__Viruses	563
k__Viruses|k__Heunggongvirae	563
k__Viruses|k__Heunggongvirae|p__Uroviricota	563
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	563
