#Classification	S-4-DICUND-G_bracken_O.kreport
k__Bacteria	25768
k__Bacteria|p__Cyanobacteria	9906
k__Bacteria|p__Cyanobacteria|o__Nostocales	9906
k__Bacteria|p__Actinobacteria	6211
k__Bacteria|p__Actinobacteria|c__Actinomycetia	6211
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	5381
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	611
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	203
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	8
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	1
k__Bacteria|p__Firmicutes	1856
k__Bacteria|p__Firmicutes|c__Bacilli	1856
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1855
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1
k__Bacteria|p__Deinococcus-Thermus	25
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	25
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	25
k__Bacteria|p__Proteobacteria	7069
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3407
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1121
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	280
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1999
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2355
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2296
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	59
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1288
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	880
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	22
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	382
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	3
k__Bacteria|p__Proteobacteria|c__Oligoflexia	15
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	15
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2
k__Bacteria|p__Acidobacteria	633
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	633
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	633
k__Bacteria|p__Bacteroidetes	59
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	42
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	42
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	15
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	15
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	1
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	4
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	1
k__Eukaryota	5916
k__Eukaryota|k__Metazoa	3016
k__Eukaryota|k__Metazoa|p__Chordata	3016
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	3016
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	3016
k__Eukaryota|k__Fungi	75
k__Eukaryota|k__Fungi|p__Basidiomycota	53
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	53
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	53
k__Eukaryota|k__Fungi|p__Ascomycota	22
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	13
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	13
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	8
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	8
k__Eukaryota|k__Viridiplantae	2819
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2819
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2817
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	2817
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales	2
k__Eukaryota|p__Euglenozoa	4
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	4
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida	4
