#Classification	GQ12_bracken_P.kreport
k__Bacteria	231403
k__Bacteria|p__Firmicutes	105090
k__Bacteria|p__Actinobacteria	73354
k__Bacteria|p__Bacteroidetes	14002
k__Bacteria|p__Proteobacteria	37144
k__Bacteria|p__Fusobacteria	1708
k__Bacteria|p__Spirochaetes	97
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Eukaryota	5358
k__Eukaryota|k__Metazoa	5358
k__Eukaryota|k__Metazoa|p__Chordata	5358
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Peploviricota	3
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
