#Classification	S-3-POLCOM-G_bracken_O.kreport
k__Bacteria	207
k__Bacteria|p__Proteobacteria	207
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	204
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	204
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	3
k__Eukaryota	1
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	1
