#Classification	NS25_bracken_P.kreport
k__Bacteria	7477645
k__Bacteria|p__Firmicutes	3884863
k__Bacteria|p__Actinobacteria	9609
k__Bacteria|p__Bacteroidetes	3577957
k__Bacteria|p__Proteobacteria	5154
k__Bacteria|p__Verrucomicrobia	22
k__Bacteria|p__Spirochaetes	36
k__Eukaryota	410
k__Eukaryota|k__Fungi	402
k__Eukaryota|k__Fungi|p__Ascomycota	402
k__Eukaryota|k__Viridiplantae	8
k__Eukaryota|k__Viridiplantae|p__Streptophyta	8
k__Archaea	6
k__Archaea|p__Euryarchaeota	6
k__Viruses	167
k__Viruses|k__Heunggongvirae	167
k__Viruses|k__Heunggongvirae|p__Uroviricota	167
