#Classification	GQ7_bracken_P.kreport
k__Bacteria	4529612
k__Bacteria|p__Firmicutes	2573091
k__Bacteria|p__Actinobacteria	457379
k__Bacteria|p__Tenericutes	26
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	1219305
k__Bacteria|p__Proteobacteria	198007
k__Bacteria|p__Candidatus_Saccharibacteria	53731
k__Bacteria|p__Fusobacteria	25416
k__Bacteria|p__Spirochaetes	1882
k__Bacteria|p__Synergistetes	771
k__Eukaryota	36547
k__Eukaryota|k__Viridiplantae	29268
k__Eukaryota|k__Viridiplantae|p__Streptophyta	29262
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	6
k__Eukaryota|k__Metazoa	7108
k__Eukaryota|k__Metazoa|p__Chordata	7108
k__Eukaryota|k__Fungi	167
k__Eukaryota|k__Fungi|p__Ascomycota	92
k__Eukaryota|k__Fungi|p__Basidiomycota	75
k__Eukaryota|p__Apicomplexa	2
k__Viruses	169
k__Viruses|k__Heunggongvirae	169
k__Viruses|k__Heunggongvirae|p__Uroviricota	108
k__Viruses|k__Heunggongvirae|p__Peploviricota	61
