#Classification	S-19-POLPIL-B_bracken_O.kreport
k__Bacteria	1135225
k__Bacteria|p__Proteobacteria	558152
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	314573
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	207598
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	56000
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	41361
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	8753
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	803
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	12
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	31
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	207067
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	204951
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	309
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1167
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	32923
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	3551
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	6533
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	19072
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	84
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	480
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1509
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1553
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	57
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	36
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	14
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3543
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	3379
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	37
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	33
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	94
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	25
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	25
k__Bacteria|p__Proteobacteria|c__Oligoflexia	16
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	16
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	2
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	2
k__Bacteria|p__Cyanobacteria	316937
k__Bacteria|p__Cyanobacteria|o__Nostocales	315960
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	115
k__Bacteria|p__Cyanobacteria|o__Chroococcales	38
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	112
k__Bacteria|p__Cyanobacteria|o__Synechococcales	63
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	641
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	2
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	2
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	1
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	1
k__Bacteria|p__Actinobacteria	199687
k__Bacteria|p__Actinobacteria|c__Actinomycetia	186710
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	89289
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	13811
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	12645
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	32091
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	13867
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	3465
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	5129
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2536
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	3696
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	2756
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	948
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	795
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	352
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	314
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	4544
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	358
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	61
