#Classification	W-2-TORTOR-G_bracken_P.kreport
k__Bacteria	38075
k__Bacteria|p__Proteobacteria	33306
k__Bacteria|p__Cyanobacteria	2078
k__Bacteria|p__Actinobacteria	1594
k__Bacteria|p__Firmicutes	431
k__Bacteria|p__Bacteroidetes	348
k__Bacteria|p__Acidobacteria	299
k__Bacteria|p__Verrucomicrobia	11
k__Bacteria|p__Planctomycetes	3
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	4130
k__Eukaryota|k__Viridiplantae	3922
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3922
k__Eukaryota|k__Metazoa	193
k__Eukaryota|k__Metazoa|p__Chordata	193
k__Eukaryota|k__Fungi	12
k__Eukaryota|k__Fungi|p__Ascomycota	10
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|p__Euglenozoa	2
