#Classification	NS10_bracken_P.kreport
k__Bacteria	6461883
k__Bacteria|p__Firmicutes	3956722
k__Bacteria|p__Actinobacteria	2297258
k__Bacteria|p__Tenericutes	4
k__Bacteria|p__Chloroflexi	3
k__Bacteria|p__Bacteroidetes	185225
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Proteobacteria	21539
k__Bacteria|p__Verrucomicrobia	819
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Spirochaetes	184
k__Bacteria|p__Candidatus_Saccharibacteria	94
k__Bacteria|p__Fusobacteria	28
k__Bacteria|p__Synergistetes	3
k__Eukaryota	1084
k__Eukaryota|k__Viridiplantae	1059
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1059
k__Eukaryota|k__Fungi	15
k__Eukaryota|k__Fungi|p__Ascomycota	15
k__Eukaryota|k__Metazoa	9
k__Eukaryota|k__Metazoa|p__Chordata	9
k__Archaea	98
k__Archaea|p__Euryarchaeota	98
k__Viruses	796008
k__Viruses|k__Heunggongvirae	796007
k__Viruses|k__Heunggongvirae|p__Uroviricota	796007
k__Viruses|k__Pararnavirae	1
k__Viruses|k__Pararnavirae|p__Artverviricota	1
